buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.47,0.11,1.4,0.2,1.9,0.21,0.51,6.1E-16,0.91,0.053,1.4,0.053,24,8.5
0,2.0,0.47,0.11,2.8,0.41,3.3,0.4,0.98,0.14,1.3,0.14,2.3,0.072,31,9.1
0,3.0,0.47,0.11,4.2,0.61,4.7,0.59,1.1,0.14,1.8,0.15,2.9,0.1,38,8.8
0,4.0,0.47,0.11,5.6,0.81,6.1,0.79,1.5,0.17,1.9,0.18,3.4,0.12,43,8.3
0,5.0,0.47,0.11,7,1,7.5,0.98,1.6,0.15,2.3,0.16,3.9,0.14,47,7.9
0,6.0,0.47,0.11,8.4,1.2,8.8,1.2,1.9,0.22,2.4,0.21,4.3,0.15,51,7.5
0,7.0,0.47,0.11,9.7,1.4,10,1.4,2,0.081,2.6,0.16,4.6,0.16,54,7.1
0,8.0,0.47,0.11,11,1.6,12,1.6,2.1,0.066,2.9,0.18,5,0.18,56,6.8
0,9.0,0.47,0.11,12,1.8,13,1.8,2.1,0.17,3.2,0.22,5.4,0.2,57,6.6
0,10.0,0.47,0.11,14,2,14,1.9,2.2,0.23,3.5,0.21,5.7,0.21,59,6.4
1,1.0,0.51,1.1E-16,1.2,0.14,1.7,0.14,0.51,6E-16,0.92,0.056,1.4,0.056,15,7
1,2.0,0.51,1.1E-16,2.4,0.28,2.9,0.28,0.98,0.14,1.3,0.14,2.3,0.072,21,7.8
1,3.0,0.51,1.1E-16,3.5,0.41,4,0.41,1.1,0.14,1.8,0.15,2.9,0.1,28,7.4
1,4.0,0.51,1.1E-16,4.7,0.55,5.2,0.55,1.5,0.17,1.9,0.18,3.4,0.12,34,7
1,5.0,0.51,1.1E-16,5.8,0.68,6.3,0.68,1.6,0.15,2.3,0.16,3.9,0.14,38,6.7
1,6.0,0.51,1.1E-16,6.9,0.81,7.4,0.81,1.9,0.22,2.4,0.21,4.3,0.15,42,6.3
1,7.0,0.51,1.1E-16,8,0.95,8.6,0.95,2,0.081,2.6,0.16,4.6,0.16,45,6.1
1,8.0,0.51,1.1E-16,9.2,1.1,9.7,1.1,2.1,0.066,2.9,0.18,5,0.18,48,5.8
1,9.0,0.51,1.1E-16,10,1.2,11,1.2,2.1,0.17,3.2,0.22,5.4,0.2,50,5.7
1,10.0,0.51,1.1E-16,11,1.3,12,1.3,2.2,0.23,3.5,0.21,5.7,0.21,51,5.5
2,1.0,1,0.044,0.8,0.073,1.8,0.087,1,0.043,0.63,0.041,1.6,0.051,9.3,3.9
2,2.0,1,0.044,1.6,0.15,2.6,0.15,1,0.056,1.2,0.082,2.3,0.084,13,5
2,3.0,1,0.044,2.4,0.22,3.4,0.22,1.1,0.16,1.8,0.15,2.9,0.11,15,5.6
2,4.0,1,0.044,3.2,0.29,4.2,0.29,1.5,0.17,1.9,0.18,3.4,0.12,18,5.8
2,5.0,1,0.044,3.9,0.36,4.9,0.36,1.6,0.15,2.3,0.16,3.9,0.14,22,5.8
2,6.0,1,0.044,4.7,0.43,5.7,0.43,1.9,0.22,2.4,0.21,4.3,0.15,25,5.8
2,7.0,1,0.044,5.4,0.5,6.5,0.5,2,0.081,2.6,0.16,4.6,0.16,28,5.7
2,8.0,1,0.044,6.2,0.57,7.2,0.57,2.1,0.066,2.9,0.18,5,0.18,30,5.7
2,9.0,1,0.044,6.9,0.63,8,0.64,2.1,0.17,3.2,0.22,5.4,0.2,32,5.5
2,10.0,1,0.044,7.7,0.7,8.7,0.7,2.2,0.23,3.5,0.21,5.7,0.21,34,5.4
3,1.0,1.7,0.22,0.58,0.042,2.3,0.22,1.7,0.22,0.46,0.038,2.2,0.2,4.9,1.9
3,2.0,1.7,0.22,1.1,0.084,2.9,0.23,1.7,0.22,0.91,0.077,2.7,0.18,7.9,3.1
3,3.0,1.7,0.22,1.7,0.13,3.5,0.25,1.8,0.24,1.3,0.12,3.1,0.16,10,3.8
3,4.0,1.7,0.22,2.3,0.17,4,0.27,1.8,0.23,1.7,0.16,3.5,0.14,12,4.3
3,5.0,1.7,0.22,2.8,0.21,4.6,0.29,1.9,0.2,2,0.16,3.9,0.14,14,4.5
3,6.0,1.7,0.22,3.4,0.25,5.1,0.32,2,0.092,2.3,0.14,4.3,0.16,16,4.5
3,7.0,1.7,0.22,3.9,0.29,5.7,0.35,2.1,0.1,2.6,0.16,4.7,0.18,18,4.5
3,8.0,1.7,0.22,4.5,0.33,6.2,0.38,2.1,0.14,2.9,0.18,5,0.19,19,4.5
3,9.0,1.7,0.22,5,0.36,6.7,0.42,2.2,0.21,3.2,0.2,5.4,0.21,20,4.6
3,10.0,1.7,0.22,5.5,0.4,7.3,0.45,2.3,0.24,3.4,0.2,5.7,0.21,21,4.5
4,1.0,2.6,0.22,0.44,0.034,3,0.23,2.6,0.22,0.35,0.017,2.9,0.22,3.3,1.5
4,2.0,2.6,0.22,0.88,0.068,3.5,0.24,2.6,0.22,0.69,0.035,3.3,0.22,5.5,1.9
4,3.0,2.6,0.22,1.3,0.1,3.9,0.25,2.6,0.22,1,0.052,3.6,0.22,7.4,2.6
4,4.0,2.6,0.22,1.7,0.13,4.3,0.27,2.6,0.23,1.4,0.068,4,0.23,8.7,3
4,5.0,2.6,0.22,2.2,0.17,4.8,0.29,2.6,0.23,1.7,0.091,4.3,0.23,10,3.3
4,6.0,2.6,0.22,2.6,0.2,5.2,0.31,2.6,0.24,2,0.11,4.6,0.24,11,3.5
4,7.0,2.6,0.22,3,0.23,5.6,0.33,2.6,0.24,2.3,0.13,4.9,0.24,12,3.7
4,8.0,2.6,0.22,3.4,0.26,6,0.35,2.7,0.25,2.6,0.15,5.2,0.25,13,3.9
4,9.0,2.6,0.22,3.8,0.3,6.4,0.38,2.7,0.28,2.8,0.15,5.5,0.25,14,4
4,10.0,2.6,0.22,4.2,0.33,6.8,0.41,2.8,0.27,3.1,0.15,5.8,0.25,14,4.1
