buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.46,0.12,1.4,0.22,1.9,0.24,0.51,5.7E-16,0.89,0.05,1.4,0.05,25,9.8
0,2.0,0.46,0.12,2.8,0.45,3.3,0.44,1,0.072,1.2,0.1,2.2,0.076,32,10
0,3.0,0.46,0.12,4.2,0.67,4.7,0.66,1,0.059,1.8,0.12,2.8,0.11,39,9.7
0,4.0,0.46,0.12,5.6,0.89,6.1,0.87,1.3,0.25,2.1,0.21,3.4,0.13,44,9.4
0,5.0,0.46,0.12,7,1.1,7.5,1.1,1.6,0.17,2.3,0.16,3.8,0.13,48,8.8
0,6.0,0.46,0.12,8.4,1.3,8.8,1.3,1.8,0.25,2.4,0.23,4.2,0.14,51,8.4
0,7.0,0.46,0.12,9.7,1.5,10,1.5,2,0.12,2.6,0.16,4.6,0.15,54,8
0,8.0,0.46,0.12,11,1.7,12,1.7,2.1,0.13,2.9,0.17,5,0.17,56,7.7
0,9.0,0.46,0.12,12,1.9,13,1.9,2.1,0.18,3.2,0.21,5.3,0.18,58,7.5
0,10.0,0.46,0.12,14,2.2,14,2.1,2.3,0.24,3.4,0.24,5.6,0.19,59,7.2
1,1.0,0.51,1.1E-16,1.2,0.14,1.7,0.14,0.51,5.8E-16,0.89,0.054,1.4,0.054,18,7.1
1,2.0,0.51,1.1E-16,2.4,0.28,2.9,0.28,1,0.072,1.2,0.1,2.2,0.076,23,7.9
1,3.0,0.51,1.1E-16,3.6,0.42,4.1,0.42,1,0.059,1.8,0.12,2.8,0.11,31,7.6
1,4.0,0.51,1.1E-16,4.8,0.56,5.3,0.56,1.3,0.25,2.1,0.21,3.4,0.13,36,7.4
1,5.0,0.51,1.1E-16,5.9,0.7,6.4,0.7,1.6,0.17,2.3,0.16,3.8,0.13,40,7.1
1,6.0,0.51,1.1E-16,7.1,0.84,7.6,0.84,1.8,0.25,2.4,0.23,4.2,0.14,43,6.7
1,7.0,0.51,1.1E-16,8.2,0.97,8.7,0.97,2,0.12,2.6,0.16,4.6,0.15,46,6.4
1,8.0,0.51,1.1E-16,9.3,1.1,9.8,1.1,2.1,0.13,2.9,0.17,5,0.17,49,6.1
1,9.0,0.51,1.1E-16,10,1.2,11,1.2,2.1,0.18,3.2,0.21,5.3,0.18,51,5.9
1,10.0,0.51,1.1E-16,12,1.4,12,1.4,2.3,0.24,3.4,0.24,5.6,0.19,53,5.8
2,1.0,1,0.065,0.8,0.075,1.8,0.092,1,0.059,0.6,0.043,1.6,0.061,10,4
2,2.0,1,0.065,1.6,0.15,2.6,0.15,1,0.059,1.2,0.088,2.2,0.085,14,5.1
2,3.0,1,0.065,2.4,0.22,3.4,0.22,1.1,0.12,1.8,0.14,2.8,0.12,17,5.7
2,4.0,1,0.065,3.1,0.29,4.2,0.29,1.3,0.25,2.1,0.21,3.4,0.13,19,6
2,5.0,1,0.065,3.9,0.37,4.9,0.36,1.6,0.17,2.3,0.16,3.8,0.13,22,6.1
2,6.0,1,0.065,4.7,0.44,5.7,0.43,1.8,0.25,2.4,0.23,4.2,0.14,25,6
2,7.0,1,0.065,5.4,0.51,6.4,0.5,2,0.12,2.6,0.16,4.6,0.15,28,5.9
2,8.0,1,0.065,6.2,0.58,7.2,0.57,2.1,0.13,2.9,0.17,5,0.17,30,5.9
2,9.0,1,0.065,6.9,0.65,7.9,0.64,2.1,0.18,3.2,0.21,5.3,0.18,33,5.8
2,10.0,1,0.065,7.6,0.72,8.6,0.71,2.3,0.24,3.4,0.24,5.6,0.19,34,5.8
3,1.0,1.7,0.21,0.57,0.035,2.3,0.22,1.7,0.21,0.46,0.038,2.2,0.19,4.7,1.6
3,2.0,1.7,0.21,1.1,0.07,2.8,0.23,1.7,0.22,0.91,0.079,2.6,0.18,7.5,2.5
3,3.0,1.7,0.21,1.7,0.11,3.4,0.25,1.7,0.23,1.3,0.13,3.1,0.16,9.6,3.1
3,4.0,1.7,0.21,2.3,0.14,4,0.27,1.8,0.24,1.7,0.15,3.5,0.15,11,3.4
3,5.0,1.7,0.21,2.8,0.17,4.5,0.29,1.9,0.23,2,0.16,3.9,0.14,13,3.6
3,6.0,1.7,0.21,3.3,0.21,5.1,0.31,2,0.17,2.3,0.15,4.3,0.15,15,3.7
3,7.0,1.7,0.21,3.9,0.24,5.6,0.34,2.1,0.13,2.6,0.17,4.6,0.16,17,3.7
3,8.0,1.7,0.21,4.4,0.27,6.1,0.36,2.1,0.17,2.9,0.18,5,0.17,18,3.7
3,9.0,1.7,0.21,4.9,0.31,6.7,0.39,2.2,0.24,3.1,0.22,5.3,0.18,20,3.7
3,10.0,1.7,0.21,5.5,0.34,7.2,0.42,2.3,0.25,3.3,0.25,5.6,0.19,21,3.6
4,1.0,2.5,0.27,0.44,0.033,3,0.28,2.5,0.27,0.35,0.019,2.9,0.26,2.9,1.2
4,2.0,2.5,0.27,0.87,0.067,3.4,0.29,2.5,0.27,0.69,0.038,3.2,0.25,5.1,2.1
4,3.0,2.5,0.27,1.3,0.099,3.8,0.3,2.5,0.27,1,0.056,3.6,0.24,6.8,2.8
4,4.0,2.5,0.27,1.7,0.13,4.3,0.32,2.5,0.27,1.4,0.077,3.9,0.24,8.1,3.3
4,5.0,2.5,0.27,2.1,0.16,4.7,0.33,2.6,0.28,1.7,0.1,4.2,0.23,9.3,3.7
