constant
buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.44,0.14,1.6,0.16,2,0.21,0.51,6.3E-16,0.89,0.056,1.4,0.056,29,7
0,2.0,0.44,0.14,3.1,0.31,3.6,0.34,0.92,0.2,1.3,0.17,2.2,0.076,37,6.1
0,3.0,0.44,0.14,4.6,0.46,5.1,0.48,1.1,0.11,1.8,0.14,2.8,0.1,44,5.6
0,4.0,0.44,0.14,6.2,0.61,6.6,0.62,1.5,0.15,1.9,0.17,3.3,0.12,49,5.5
0,5.0,0.44,0.14,7.7,0.76,8.1,0.77,1.6,0.14,2.2,0.16,3.8,0.14,53,5.2
0,6.0,0.44,0.14,9.2,0.91,9.6,0.91,1.8,0.24,2.4,0.23,4.2,0.15,56,4.8
0,7.0,0.44,0.14,11,1.1,11,1.1,2,0.13,2.6,0.17,4.6,0.17,58,4.6
0,8.0,0.44,0.14,12,1.2,13,1.2,2,0.065,2.9,0.18,4.9,0.19,60,4.4
0,9.0,0.44,0.14,14,1.3,14,1.3,2.1,0.12,3.2,0.2,5.2,0.21,62,4.3
0,10.0,0.44,0.14,15,1.5,15,1.5,2.2,0.21,3.4,0.21,5.6,0.22,63,4.1
1,1.0,0.51,0,1.2,0.19,1.7,0.19,0.51,5.5E-16,0.89,0.059,1.4,0.059,15,9.5
1,2.0,0.51,0,2.3,0.38,2.8,0.38,0.92,0.2,1.3,0.17,2.2,0.076,20,11
1,3.0,0.51,0,3.4,0.56,4,0.56,1.1,0.11,1.8,0.14,2.8,0.1,27,10
1,4.0,0.51,0,4.6,0.74,5.1,0.74,1.5,0.15,1.9,0.17,3.3,0.12,33,9.8
1,5.0,0.51,0,5.7,0.93,6.2,0.93,1.6,0.14,2.2,0.16,3.8,0.14,38,9.3
1,6.0,0.51,0,6.8,1.1,7.3,1.1,1.8,0.24,2.4,0.23,4.2,0.15,41,8.9
1,7.0,0.51,0,7.9,1.3,8.4,1.3,2,0.13,2.6,0.17,4.6,0.17,44,8.5
1,8.0,0.51,0,9,1.5,9.5,1.5,2,0.065,2.9,0.18,4.9,0.19,47,8.1
