buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.51,1.1E-16,1.7,0.11,2.2,0.11,0.51,0,0.88,3.3E-16,1.4,2.2E-16,36,3.9
0,2.0,0.51,1.1E-16,3.3,0.21,3.8,0.21,1,2.2E-16,1.2,2.2E-16,2.2,0,43,4
0,3.0,0.51,1.1E-16,5,0.32,5.5,0.32,1,2.2E-16,1.7,2.2E-16,2.8,4.3E-16,49,3.8
0,4.0,0.51,1.1E-16,6.6,0.42,7.1,0.42,1.5,0,1.8,6.5E-16,3.3,4.3E-16,53,3.6
0,5.0,0.51,1.1E-16,8.2,0.53,8.7,0.53,1.5,0,2.2,0,3.7,4.3E-16,57,3.4
0,6.0,0.51,1.1E-16,9.8,0.63,10,0.63,1.5,2.2E-16,2.6,8.7E-16,4.2,8.7E-16,59,3.2
0,7.0,0.51,1.1E-16,11,0.73,12,0.73,2,0,2.5,4.3E-16,4.6,8.7E-16,61,3.1
0,8.0,0.51,1.1E-16,13,0.83,13,0.83,2,0,2.9,4.3E-16,4.9,0,63,3
0,9.0,0.51,1.1E-16,14,0.93,15,0.93,2,4.3E-16,3.2,4.3E-16,5.2,0,65,2.9
0,10.0,0.51,1.1E-16,16,1,16,1,2,4.3E-16,3.5,0,5.6,8.7E-16,66,2.8
1,1.0,0.51,1.1E-16,1.2,0.16,1.8,0.16,0.51,1.1E-16,0.88,1.1E-16,1.4,2.2E-16,20,7.8
1,2.0,0.51,1.1E-16,2.5,0.32,3,0.32,1,2.2E-16,1.2,2.2E-16,2.2,4.3E-16,26,8.5
1,3.0,0.51,1.1E-16,3.7,0.48,4.2,0.48,1,2.2E-16,1.7,2.2E-16,2.8,4.3E-16,33,8.2
1,4.0,0.51,1.1E-16,4.9,0.64,5.4,0.64,1.5,0,1.8,8.7E-16,3.3,8.7E-16,38,7.9
1,5.0,0.51,1.1E-16,6.1,0.8,6.6,0.8,1.5,2.2E-16,2.2,4.3E-16,3.7,8.7E-16,42,7.5
