buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.51,1.1E-16,1.4,0.24,2,0.24,0.51,6.5E-16,0.9,0.025,1.4,0.025,27,10
0,2.0,0.51,1.1E-16,2.9,0.47,3.4,0.47,1,1E-15,1.2,0.03,2.2,0.03,32,11
0,3.0,0.51,1.1E-16,4.3,0.7,4.8,0.7,1,1.2E-15,1.8,0.044,2.8,0.044,39,10
0,4.0,0.51,1.1E-16,5.7,0.94,6.2,0.94,1.5,1.5E-15,1.8,0.053,3.4,0.053,44,9.9
0,5.0,0.51,1.1E-16,7.1,1.2,7.6,1.2,1.5,0.069,2.3,0.077,3.8,0.066,48,9.4
0,6.0,0.51,1.1E-16,8.4,1.4,8.9,1.4,1.8,0.26,2.5,0.22,4.2,0.068,51,9
0,7.0,0.51,1.1E-16,9.8,1.6,10,1.6,2,2.1E-15,2.6,0.068,4.6,0.068,54,8.7
0,8.0,0.51,1.1E-16,11,1.8,12,1.8,2,2.6E-15,2.9,0.077,5,0.077,56,8.3
0,9.0,0.51,1.1E-16,12,2.1,13,2.1,2,2.3E-15,3.3,0.086,5.3,0.086,58,8
0,10.0,0.51,1.1E-16,14,2.3,14,2.3,2.1,0.12,3.6,0.14,5.7,0.095,59,7.8
1,1.0,0.51,1.1E-16,1.2,0.15,1.7,0.15,0.51,6.2E-16,0.9,0.025,1.4,0.025,17,7.2
1,2.0,0.51,1.1E-16,2.4,0.29,2.9,0.29,1,1.1E-15,1.2,0.03,2.2,0.03,21,8.1
1,3.0,0.51,1.1E-16,3.5,0.43,4.1,0.43,1,1.4E-15,1.8,0.044,2.8,0.044,29,7.8
1,4.0,0.51,1.1E-16,4.7,0.57,5.2,0.57,1.5,1.5E-15,1.8,0.053,3.4,0.053,35,7.3
1,5.0,0.51,1.1E-16,5.8,0.71,6.4,0.71,1.5,0.069,2.3,0.077,3.8,0.066,39,7
1,6.0,0.51,1.1E-16,7,0.85,7.5,0.85,1.8,0.26,2.5,0.22,4.2,0.068,43,6.7
1,7.0,0.51,1.1E-16,8.1,0.99,8.6,0.99,2,2.3E-15,2.6,0.068,4.6,0.068,46,6.4
1,8.0,0.51,1.1E-16,9.2,1.1,9.7,1.1,2,2.3E-15,2.9,0.077,5,0.077,48,6.1
1,9.0,0.51,1.1E-16,10,1.3,11,1.3,2,2E-15,3.3,0.086,5.3,0.086,50,5.9
1,10.0,0.51,1.1E-16,11,1.4,12,1.4,2.1,0.12,3.6,0.14,5.7,0.095,52,5.8
2,1.0,1,2.2E-16,0.81,0.075,1.8,0.075,1,7E-16,0.61,0.015,1.6,0.015,11,3.7
2,2.0,1,2.2E-16,1.6,0.15,2.6,0.15,1,1.1E-15,1.2,0.03,2.2,0.03,15,4.9
2,3.0,1,2.2E-16,2.4,0.22,3.4,0.22,1,1.4E-15,1.8,0.044,2.8,0.044,17,5.5
2,4.0,1,2.2E-16,3.2,0.29,4.2,0.29,1.5,1.5E-15,1.8,0.053,3.4,0.053,20,5.7
2,5.0,1,2.2E-16,4,0.37,5,0.37,1.5,0.069,2.3,0.077,3.8,0.066,23,5.8
2,6.0,1,2.2E-16,4.8,0.44,5.8,0.44,1.8,0.26,2.5,0.22,4.2,0.068,26,5.8
2,7.0,1,2.2E-16,5.5,0.51,6.5,0.51,2,2.1E-15,2.6,0.068,4.6,0.068,29,5.7
2,8.0,1,2.2E-16,6.3,0.58,7.3,0.58,2,2.5E-15,2.9,0.077,5,0.077,32,5.6
2,9.0,1,2.2E-16,7,0.65,8.1,0.65,2,2.5E-15,3.3,0.086,5.3,0.086,34,5.6
2,10.0,1,2.2E-16,7.8,0.71,8.8,0.71,2.1,0.12,3.6,0.14,5.7,0.095,35,5.5
3,1.0,1.5,0.02,0.61,0.035,2.1,0.044,1.5,0.02,0.49,0.02,2,0.029,5.7,1.8
3,2.0,1.5,0.02,1.2,0.069,2.7,0.076,1.5,0.02,0.97,0.039,2.5,0.045,8.9,2.7
3,3.0,1.5,0.02,1.8,0.1,3.3,0.11,1.5,0.02,1.4,0.059,3,0.062,11,3.3
3,4.0,1.5,0.02,2.4,0.14,3.9,0.14,1.6,0.14,1.9,0.12,3.4,0.077,12,3.7
3,5.0,1.5,0.02,3,0.17,4.5,0.18,1.8,0.25,2.1,0.21,3.9,0.061,14,3.7
3,6.0,1.5,0.02,3.6,0.2,5.1,0.21,2,0.029,2.2,0.061,4.3,0.058,17,3.7
3,7.0,1.5,0.02,4.1,0.24,5.7,0.24,2,2.4E-15,2.6,0.068,4.6,0.068,19,3.8
3,8.0,1.5,0.02,4.7,0.27,6.3,0.27,2,2.2E-15,2.9,0.077,5,0.077,20,3.8
3,9.0,1.5,0.02,5.3,0.3,6.8,0.31,2,2.3E-15,3.3,0.086,5.3,0.086,22,3.9
