buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.46,0.11,1.4,0.22,1.9,0.23,0.51,6.2E-16,0.88,0.07,1.4,0.07,25,9
0,2.0,0.46,0.11,2.8,0.44,3.3,0.44,0.94,0.19,1.2,0.17,2.2,0.1,32,9.7
0,3.0,0.46,0.11,4.2,0.66,4.6,0.65,1,0.06,1.7,0.14,2.8,0.14,39,9.3
0,4.0,0.46,0.11,5.5,0.87,6,0.86,1.2,0.24,2.1,0.21,3.3,0.17,44,8.9
0,5.0,0.46,0.11,6.9,1.1,7.4,1.1,1.5,0.25,2.3,0.21,3.8,0.18,48,8.5
0,6.0,0.46,0.11,8.2,1.3,8.7,1.3,1.8,0.23,2.4,0.22,4.2,0.19,51,8.1
0,7.0,0.46,0.11,9.6,1.5,10,1.5,1.9,0.2,2.6,0.24,4.6,0.21,53,7.7
0,8.0,0.46,0.11,11,1.7,11,1.7,2,0.15,2.9,0.23,4.9,0.23,56,7.4
0,9.0,0.46,0.11,12,1.9,13,1.9,2.2,0.21,3.1,0.24,5.3,0.25,57,7.2
0,10.0,0.46,0.11,13,2.1,14,2.1,2.3,0.24,3.3,0.28,5.6,0.26,59,7
1,1.0,0.52,0.055,1.2,0.15,1.7,0.17,0.52,0.069,0.87,0.076,1.4,0.087,17,7.4
1,2.0,0.52,0.055,2.3,0.3,2.9,0.31,0.94,0.18,1.2,0.16,2.2,0.1,23,8.7
1,3.0,0.52,0.055,3.5,0.45,4,0.46,1,0.06,1.7,0.14,2.8,0.14,30,8.6
1,4.0,0.52,0.055,4.6,0.6,5.1,0.61,1.2,0.24,2.1,0.21,3.3,0.17,35,8.2
