buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.48,0.11,1.4,0.18,1.9,0.18,0.51,5.9E-16,0.9,0.049,1.4,0.049,25,8.4
0,2.0,0.48,0.11,2.9,0.37,3.3,0.35,0.96,0.16,1.3,0.15,2.2,0.067,32,8.7
0,3.0,0.48,0.11,4.3,0.55,4.8,0.53,1,0.1,1.8,0.12,2.8,0.097,39,8.4
0,4.0,0.48,0.11,5.7,0.73,6.2,0.7,1.4,0.19,1.9,0.2,3.4,0.11,44,8.2
0,5.0,0.48,0.11,7.1,0.9,7.5,0.88,1.5,0.074,2.3,0.12,3.8,0.13,48,7.8
0,6.0,0.48,0.11,8.4,1.1,8.9,1.1,1.9,0.23,2.4,0.2,4.2,0.14,52,7.4
0,7.0,0.48,0.11,9.8,1.3,10,1.2,2,0.097,2.6,0.16,4.6,0.15,54,7.1
0,8.0,0.48,0.11,11,1.4,12,1.4,2,0.02,2.9,0.17,5,0.17,56,6.8
0,9.0,0.48,0.11,12,1.6,13,1.6,2.1,0.15,3.2,0.21,5.3,0.19,58,6.6
0,10.0,0.48,0.11,14,1.8,14,1.7,2.2,0.2,3.5,0.19,5.7,0.2,60,6.4
1,1.0,0.51,1.1E-16,1.2,0.14,1.7,0.14,0.51,5.1E-16,0.91,0.05,1.4,0.05,17,6.9
1,2.0,0.51,1.1E-16,2.4,0.28,2.9,0.28,0.96,0.16,1.3,0.15,2.2,0.067,22,7.4
1,3.0,0.51,1.1E-16,3.6,0.41,4.1,0.41,1,0.1,1.8,0.12,2.8,0.097,29,7.2
1,4.0,0.51,1.1E-16,4.7,0.55,5.2,0.55,1.4,0.19,1.9,0.2,3.4,0.11,35,6.9
1,5.0,0.51,1.1E-16,5.9,0.68,6.4,0.68,1.5,0.074,2.3,0.12,3.8,0.13,39,6.6
1,6.0,0.51,1.1E-16,7,0.81,7.5,0.81,1.9,0.23,2.4,0.2,4.2,0.14,43,6.3
1,7.0,0.51,1.1E-16,8.1,0.94,8.6,0.94,2,0.097,2.6,0.16,4.6,0.15,46,6.1
1,8.0,0.51,1.1E-16,9.2,1.1,9.8,1.1,2,0.02,2.9,0.17,5,0.17,48,5.9
1,9.0,0.51,1.1E-16,10,1.2,11,1.2,2.1,0.15,3.2,0.21,5.3,0.19,50,5.7
1,10.0,0.51,1.1E-16,11,1.3,12,1.3,2.2,0.2,3.5,0.19,5.7,0.2,52,5.5
2,1.0,1,0.071,0.81,0.081,1.8,0.11,1,0.07,0.62,0.042,1.6,0.062,10,4.5
2,2.0,1,0.071,1.6,0.16,2.6,0.18,1,0.069,1.2,0.076,2.3,0.082,14,5.8
2,3.0,1,0.071,2.4,0.24,3.4,0.25,1.1,0.12,1.8,0.13,2.9,0.1,16,6.5
2,4.0,1,0.071,3.2,0.32,4.2,0.33,1.4,0.19,1.9,0.2,3.4,0.11,19,6.7
2,5.0,1,0.071,4,0.4,5,0.4,1.5,0.074,2.3,0.12,3.8,0.13,23,6.6
2,6.0,1,0.071,4.8,0.47,5.8,0.48,1.9,0.22,2.4,0.2,4.2,0.14,26,6.5
