constant
buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.44,0.14,1.6,0.16,2,0.21,0.51,6.5E-16,0.89,0.057,1.4,0.057,29,7.2
0,2.0,0.44,0.14,3.1,0.32,3.5,0.35,0.93,0.19,1.3,0.16,2.2,0.076,37,6.4
0,3.0,0.44,0.14,4.6,0.48,5.1,0.49,1,0.11,1.8,0.14,2.8,0.11,44,6
0,4.0,0.44,0.14,6.1,0.64,6.6,0.65,1.5,0.15,1.9,0.17,3.3,0.12,49,5.8
0,5.0,0.44,0.14,7.6,0.79,8.1,0.8,1.6,0.15,2.2,0.16,3.8,0.15,53,5.5
0,6.0,0.44,0.14,9.1,0.95,9.6,0.95,1.8,0.24,2.4,0.23,4.2,0.16,56,5.1
0,7.0,0.44,0.14,11,1.1,11,1.1,2,0.13,2.6,0.17,4.6,0.17,58,4.9
0,8.0,0.44,0.14,12,1.3,13,1.3,2,0.063,2.9,0.19,4.9,0.19,60,4.7
0,9.0,0.44,0.14,14,1.4,14,1.4,2.1,0.11,3.2,0.21,5.3,0.21,62,4.6
0,10.0,0.44,0.14,15,1.6,15,1.6,2.2,0.22,3.4,0.21,5.6,0.22,63,4.4
1,1.0,0.51,2.2E-16,1.2,0.19,1.7,0.19,0.51,5.5E-16,0.89,0.06,1.4,0.06,15,9.5
1,2.0,0.51,2.2E-16,2.3,0.37,2.8,0.37,0.93,0.19,1.3,0.16,2.2,0.076,19,10
1,3.0,0.51,2.2E-16,3.4,0.55,3.9,0.55,1,0.11,1.8,0.14,2.8,0.11,27,10
1,4.0,0.51,2.2E-16,4.5,0.74,5.1,0.74,1.5,0.15,1.9,0.17,3.3,0.12,33,9.7
1,5.0,0.51,2.2E-16,5.7,0.92,6.2,0.92,1.6,0.15,2.2,0.16,3.8,0.15,37,9.3
1,6.0,0.51,2.2E-16,6.8,1.1,7.3,1.1,1.8,0.24,2.4,0.23,4.2,0.16,41,8.8
1,7.0,0.51,2.2E-16,7.8,1.3,8.4,1.3,2,0.13,2.6,0.17,4.6,0.17,44,8.4
1,8.0,0.51,2.2E-16,8.9,1.4,9.4,1.4,2,0.063,2.9,0.19,4.9,0.19,47,8.1
1,9.0,0.51,2.2E-16,10,1.6,11,1.6,2.1,0.11,3.2,0.21,5.3,0.21,49,7.8
1,10.0,0.51,2.2E-16,11,1.8,12,1.8,2.2,0.22,3.4,0.21,5.6,0.22,51,7.5
2,1.0,1,0.059,0.8,0.046,1.8,0.07,1,0.059,0.62,0.048,1.6,0.048,10,2.8
2,2.0,1,0.059,1.6,0.091,2.6,0.1,1,9.7E-16,1.2,0.079,2.2,0.079,14,3.7
2,3.0,1,0.059,2.4,0.14,3.4,0.14,1.1,0.13,1.8,0.14,2.8,0.11,17,3.9
2,4.0,1,0.059,3.2,0.18,4.2,0.18,1.5,0.14,1.9,0.17,3.3,0.12,20,4
2,5.0,1,0.059,3.9,0.23,4.9,0.22,1.6,0.16,2.2,0.17,3.8,0.15,23,4
2,6.0,1,0.059,4.7,0.27,5.7,0.27,1.8,0.24,2.4,0.24,4.2,0.16,26,3.8
2,7.0,1,0.059,5.4,0.31,6.5,0.31,2,0.13,2.6,0.17,4.6,0.17,29,3.7
2,8.0,1,0.059,6.2,0.36,7.2,0.35,2,0.063,2.9,0.19,4.9,0.19,32,3.7
2,9.0,1,0.059,6.9,0.4,7.9,0.39,2.1,0.11,3.2,0.21,5.3,0.21,34,3.6
2,10.0,1,0.059,7.7,0.44,8.7,0.44,2.2,0.22,3.4,0.21,5.6,0.22,36,3.6
3,1.0,1.7,0.2,0.56,0.043,2.3,0.21,1.7,0.2,0.45,0.038,2.2,0.19,4.8,1.9
3,2.0,1.7,0.2,1.1,0.086,2.8,0.22,1.7,0.21,0.9,0.079,2.6,0.17,7.7,3
3,3.0,1.7,0.2,1.7,0.13,3.4,0.24,1.8,0.23,1.3,0.12,3.1,0.16,9.9,3.7
3,4.0,1.7,0.2,2.2,0.17,3.9,0.26,1.8,0.23,1.6,0.15,3.5,0.15,12,4.3
3,5.0,1.7,0.2,2.8,0.21,4.5,0.29,1.9,0.21,1.9,0.16,3.9,0.15,14,4.5
3,6.0,1.7,0.2,3.3,0.25,5,0.32,2,0.12,2.2,0.16,4.2,0.16,16,4.6
3,7.0,1.7,0.2,3.8,0.3,5.6,0.35,2.1,0.1,2.5,0.16,4.6,0.18,17,4.7
3,8.0,1.7,0.2,4.4,0.34,6.1,0.39,2.1,0.13,2.8,0.18,4.9,0.2,19,4.7
3,9.0,1.7,0.2,4.9,0.38,6.6,0.42,2.1,0.16,3.2,0.19,5.3,0.21,20,4.7
3,10.0,1.7,0.2,5.4,0.42,7.1,0.46,2.2,0.22,3.4,0.2,5.6,0.23,21,4.7
4,1.0,2.5,0.23,0.44,0.028,3,0.23,2.5,0.23,0.34,0.021,2.9,0.23,3.1,0.92
4,2.0,2.5,0.23,0.87,0.057,3.4,0.24,2.5,0.23,0.68,0.042,3.2,0.23,5.4,1.6
4,3.0,2.5,0.23,1.3,0.084,3.8,0.26,2.5,0.23,1,0.057,3.6,0.23,7.1,2
4,4.0,2.5,0.23,1.7,0.11,4.3,0.27,2.6,0.24,1.3,0.079,3.9,0.24,8.6,2.3
4,5.0,2.5,0.23,2.1,0.14,4.7,0.29,2.6,0.23,1.7,0.095,4.2,0.24,9.8,2.6
4,6.0,2.5,0.23,2.6,0.17,5.1,0.31,2.6,0.25,1.9,0.11,4.5,0.25,11,2.8
4,7.0,2.5,0.23,3,0.19,5.5,0.32,2.6,0.25,2.2,0.13,4.8,0.25,12,2.9
4,8.0,2.5,0.23,3.4,0.22,5.9,0.34,2.6,0.26,2.5,0.15,5.2,0.25,13,3
4,9.0,2.5,0.23,3.8,0.25,6.3,0.36,2.7,0.27,2.8,0.17,5.5,0.26,14,3.2
4,10.0,2.5,0.23,4.2,0.27,6.7,0.39,2.7,0.28,3,0.18,5.7,0.26,14,3.3
V
buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.48,0.08,1.5,0.13,2,0.15,0.51,6.1E-16,0.88,0.026,1.4,0.026,29,5.6
0,2.0,0.48,0.08,3,0.25,3.4,0.27,1,9.3E-16,1.2,0.036,2.2,0.036,36,5.3
0,3.0,0.48,0.08,4.4,0.38,4.9,0.39,1,1.2E-15,1.8,0.054,2.8,0.054,43,4.9
0,4.0,0.48,0.08,5.9,0.5,6.4,0.51,1.1,0.18,2.2,0.16,3.3,0.069,47,4.7
0,5.0,0.48,0.08,7.3,0.62,7.8,0.63,1.7,0.25,2.1,0.24,3.8,0.059,51,4.3
0,6.0,0.48,0.08,8.7,0.75,9.2,0.75,2,2E-15,2.1,0.062,4.2,0.062,54,4
0,7.0,0.48,0.08,10,0.87,11,0.87,2,2.2E-15,2.5,0.072,4.5,0.072,57,3.8
0,8.0,0.48,0.08,12,0.99,12,0.99,2,2.2E-15,2.8,0.082,4.9,0.082,59,3.6
0,9.0,0.48,0.08,13,1.1,13,1.1,2,2.1E-15,3.2,0.092,5.2,0.092,61,3.5
0,10.0,0.48,0.08,14,1.2,15,1.2,2,2.3E-15,3.5,0.1,5.5,0.1,62,3.4
1,1.0,0.51,2.2E-16,1.1,0.2,1.6,0.2,0.51,5.5E-16,0.88,0.026,1.4,0.026,12,11
1,2.0,0.51,2.2E-16,2.2,0.4,2.7,0.4,1,9.5E-16,1.2,0.036,2.2,0.036,16,12
1,3.0,0.51,2.2E-16,3.2,0.6,3.7,0.6,1,1.2E-15,1.8,0.054,2.8,0.054,24,12
1,4.0,0.51,2.2E-16,4.3,0.8,4.8,0.8,1.1,0.18,2.2,0.16,3.3,0.069,28,12
1,5.0,0.51,2.2E-16,5.3,1,5.8,1,1.7,0.25,2.1,0.24,3.8,0.059,33,11
1,6.0,0.51,2.2E-16,6.4,1.2,6.9,1.2,2,2.1E-15,2.1,0.062,4.2,0.062,37,11
1,7.0,0.51,2.2E-16,7.4,1.4,7.9,1.4,2,2.2E-15,2.5,0.072,4.5,0.072,41,10
1,8.0,0.51,2.2E-16,8.4,1.6,8.9,1.6,2,2.6E-15,2.8,0.082,4.9,0.082,44,9.8
1,9.0,0.51,2.2E-16,9.4,1.8,9.9,1.8,2,2.1E-15,3.2,0.092,5.2,0.092,46,9.4
1,10.0,0.51,2.2E-16,10,1.9,11,1.9,2,2.3E-15,3.5,0.1,5.5,0.1,48,9.2
2,1.0,1,0.023,0.79,0.043,1.8,0.048,1,0.022,0.59,0.023,1.6,0.019,11,2.6
2,2.0,1,0.023,1.6,0.085,2.6,0.088,1,9.5E-16,1.2,0.036,2.2,0.036,15,3.4
2,3.0,1,0.023,2.4,0.13,3.4,0.13,1,1.1E-15,1.8,0.054,2.8,0.054,18,3.8
2,4.0,1,0.023,3.1,0.17,4.1,0.17,1.1,0.18,2.2,0.16,3.3,0.069,19,4
2,5.0,1,0.023,3.9,0.21,4.9,0.21,1.7,0.25,2.1,0.24,3.8,0.059,22,3.8
2,6.0,1,0.023,4.6,0.25,5.7,0.25,2,1.8E-15,2.1,0.062,4.2,0.062,26,3.6
2,7.0,1,0.023,5.4,0.29,6.4,0.29,2,1.9E-15,2.5,0.072,4.5,0.072,29,3.6
2,8.0,1,0.023,6.1,0.33,7.1,0.33,2,1.9E-15,2.8,0.082,4.9,0.082,32,3.6
2,9.0,1,0.023,6.9,0.37,7.9,0.37,2,2.2E-15,3.2,0.092,5.2,0.092,34,3.5
2,10.0,1,0.023,7.6,0.41,8.6,0.41,2,2.3E-15,3.5,0.1,5.5,0.1,35,3.5
3,1.0,1.5,6.5E-16,0.56,0.032,2.1,0.032,1.5,9.7E-16,0.48,0.016,2,0.016,3.8,1.4
3,2.0,1.5,6.5E-16,1.1,0.063,2.6,0.063,1.5,1.2E-15,0.96,0.032,2.5,0.032,5.9,2.1
3,3.0,1.5,6.5E-16,1.7,0.094,3.2,0.094,1.5,1.5E-15,1.4,0.048,3,0.048,7.3,2.6
3,4.0,1.5,6.5E-16,2.2,0.12,3.7,0.12,1.6,0.11,1.9,0.12,3.4,0.061,8.3,2.9
3,5.0,1.5,6.5E-16,2.8,0.15,4.3,0.15,2,0.15,1.8,0.14,3.8,0.054,10,3.2
3,6.0,1.5,6.5E-16,3.3,0.18,4.8,0.18,2,2E-15,2.1,0.063,4.2,0.063,13,3.3
3,7.0,1.5,6.5E-16,3.8,0.21,5.3,0.21,2,2.2E-15,2.5,0.073,4.5,0.073,15,3.4
3,8.0,1.5,6.5E-16,4.3,0.24,5.9,0.24,2,2.3E-15,2.8,0.083,4.9,0.083,17,3.4
3,9.0,1.5,6.5E-16,4.9,0.27,6.4,0.27,2,2.5E-15,3.2,0.093,5.2,0.093,18,3.5
3,10.0,1.5,6.5E-16,5.4,0.3,6.9,0.3,2,0.052,3.5,0.097,5.5,0.1,20,3.5
4,1.0,2.1,0.16,0.44,0.022,2.6,0.16,2.1,0.16,0.38,0.021,2.5,0.15,2.5,0.89
4,2.0,2.1,0.16,0.88,0.043,3,0.17,2.1,0.16,0.75,0.042,2.9,0.14,4.3,1.5
4,3.0,2.1,0.16,1.3,0.064,3.5,0.18,2.1,0.17,1.1,0.067,3.3,0.14,5.6,2
4,4.0,2.1,0.16,1.7,0.085,3.9,0.19,2.2,0.18,1.5,0.094,3.6,0.13,6.7,2.4
4,5.0,2.1,0.16,2.2,0.11,4.3,0.21,2.2,0.2,1.8,0.12,4,0.13,7.6,2.7
4,6.0,2.1,0.16,2.6,0.13,4.7,0.22,2.2,0.22,2.1,0.15,4.3,0.12,8.5,3
4,7.0,2.1,0.16,3,0.15,5.2,0.23,2.3,0.23,2.4,0.18,4.7,0.11,9.5,3.1
4,8.0,2.1,0.16,3.4,0.17,5.6,0.25,2.3,0.23,2.6,0.18,5,0.11,10,3.3
4,9.0,2.1,0.16,3.8,0.19,6,0.26,2.4,0.23,2.9,0.19,5.3,0.11,11,3.4
4,10.0,2.1,0.16,4.3,0.21,6.4,0.28,2.4,0.21,3.2,0.19,5.6,0.1,12,3.5
