buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.51,1.1E-16,1.6,0.18,2.1,0.18,0.51,2.2E-16,0.88,1.1E-16,1.4,4.3E-16,34,7.5
0,2.0,0.51,1.1E-16,3.2,0.36,3.7,0.36,1,3.1E-14,1.2,3.1E-14,2.2,0,39,8.2
0,3.0,0.51,1.1E-16,4.8,0.54,5.3,0.54,1,4.4E-14,1.8,4.4E-14,2.8,8.7E-16,46,7.8
0,4.0,0.51,1.1E-16,6.4,0.71,6.9,0.71,1.5,2.2E-16,1.8,2.2E-16,3.3,4.3E-16,51,7.4
0,5.0,0.51,1.1E-16,7.9,0.88,8.4,0.88,1.5,0,2.2,8.7E-16,3.8,8.7E-16,54,6.9
0,6.0,0.51,1.1E-16,9.4,1.1,10,1.1,1.5,0,2.7,4.3E-16,4.2,0,57,6.7
0,7.0,0.51,1.1E-16,11,1.2,11,1.2,2,1E-13,2.5,1E-13,4.6,1.7E-15,59,6.3
0,8.0,0.51,1.1E-16,12,1.4,13,1.4,2,1.1E-14,2.9,1.1E-14,4.9,8.7E-16,61,6.1
0,9.0,0.51,1.1E-16,14,1.6,14,1.6,2,6.9E-14,3.2,6.9E-14,5.3,0,63,5.9
0,10.0,0.51,1.1E-16,15,1.7,16,1.7,2,4.8E-15,3.6,4.8E-15,5.6,1.7E-15,64,5.7
1,1.0,0.51,1.1E-16,1.1,0.16,1.6,0.16,0.51,0,0.88,1.1E-16,1.4,2.2E-16,14,8.2
1,2.0,0.51,1.1E-16,2.2,0.33,2.7,0.33,1,2.1E-14,1.2,2.1E-14,2.2,0,18,9.2
1,3.0,0.51,1.1E-16,3.3,0.49,3.8,0.49,1,8.9E-15,1.8,8.9E-15,2.8,4.3E-16,25,8.8
1,4.0,0.51,1.1E-16,4.4,0.64,4.9,0.64,1.5,4.3E-16,1.8,6.5E-16,3.3,4.3E-16,31,8.4
1,5.0,0.51,1.1E-16,5.5,0.8,6,0.8,1.5,2.2E-16,2.2,0,3.8,8.7E-16,36,8
1,6.0,0.51,1.1E-16,6.6,0.96,7.1,0.96,1.5,0,2.7,0,4.2,8.7E-16,40,7.6
1,7.0,0.51,1.1E-16,7.6,1.1,8.1,1.1,2,5.6E-14,2.5,5.6E-14,4.6,0,43,7.3
1,8.0,0.51,1.1E-16,8.7,1.3,9.2,1.3,2,5E-15,2.9,5E-15,4.9,8.7E-16,45,7
1,9.0,0.51,1.1E-16,9.7,1.4,10,1.4,2,4.6E-15,3.2,4.6E-15,5.3,0,48,6.8
1,10.0,0.51,1.1E-16,11,1.6,11,1.6,2,1.7E-14,3.6,1.7E-14,5.6,8.7E-16,49,6.6
2,1.0,1,2.2E-16,0.87,0.067,1.9,0.067,1,6.9E-15,0.61,6.9E-15,1.6,2.2E-16,14,3.1
2,2.0,1,2.2E-16,1.7,0.13,2.8,0.13,1,1.9E-14,1.2,1.9E-14,2.2,4.3E-16,19,4
