buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,1,0.098,1.5,0.2,2.5,0.2,1,0.081,0.9,0.076,1.9,0.023,24,6.8
0,2.0,1,0.098,3,0.4,4,0.39,1,1.2E-15,1.8,0.045,2.8,0.045,30,8.1
0,3.0,1,0.098,4.5,0.59,5.5,0.58,1,1.8E-15,2.6,0.067,3.7,0.067,33,8.7
0,4.0,1,0.098,6,0.79,7,0.77,2,2E-15,2.3,0.064,4.4,0.064,37,8.6
0,5.0,1,0.098,7.5,0.98,8.5,0.96,2,2E-15,2.9,0.08,4.9,0.08,41,8.3
0,6.0,1,0.098,8.9,1.2,9.9,1.2,2,2.3E-15,3.5,0.095,5.5,0.095,43,8.2
0,7.0,1,0.098,10,1.4,11,1.3,2.1,0.14,4,0.16,6.1,0.11,46,8
0,8.0,1,0.098,12,1.5,13,1.5,2.5,0.5,4.1,0.49,6.6,0.11,47,7.9
0,9.0,1,0.098,13,1.7,14,1.7,3,0.14,4,0.18,7,0.11,49,7.7
0,10.0,1,0.098,15,1.9,16,1.9,3.1,2.7E-15,4.4,0.12,7.5,0.12,51,7.5
1,1.0,1,2.2E-16,1.2,0.14,2.2,0.14,1,7.7E-16,0.89,0.023,1.9,0.023,14,5.8
1,2.0,1,2.2E-16,2.4,0.29,3.4,0.29,1,1.3E-15,1.8,0.045,2.8,0.045,18,7.4
1,3.0,1,2.2E-16,3.6,0.43,4.6,0.43,1,1.6E-15,2.6,0.067,3.7,0.067,20,8.1
1,4.0,1,2.2E-16,4.7,0.57,5.8,0.57,2,2.3E-15,2.3,0.064,4.4,0.064,23,8.1
1,5.0,1,2.2E-16,5.9,0.71,6.9,0.71,2,2.6E-15,2.9,0.08,4.9,0.08,28,8
1,6.0,1,2.2E-16,7,0.84,8.1,0.84,2,2.7E-15,3.5,0.095,5.5,0.095,31,7.8
1,7.0,1,2.2E-16,8.2,0.98,9.2,0.98,2.1,0.14,4,0.16,6.1,0.11,33,7.7
1,8.0,1,2.2E-16,9.3,1.1,10,1.1,2.5,0.5,4.1,0.49,6.6,0.11,35,7.7
1,9.0,1,2.2E-16,10,1.2,11,1.2,3,0.14,4,0.18,7,0.11,38,7.5
