buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.51,1.1E-16,1.5,0.21,2,0.21,0.51,5.2E-16,0.88,0.016,1.4,0.016,30,8
0,2.0,0.51,1.1E-16,3,0.41,3.5,0.41,1,9.4E-16,1.2,0.023,2.2,0.023,36,8.4
0,3.0,0.51,1.1E-16,4.5,0.62,5,0.62,1,1.2E-15,1.7,0.034,2.8,0.034,43,8
0,4.0,0.51,1.1E-16,5.9,0.82,6.4,0.82,1.3,0.25,2,0.24,3.3,0.039,47,7.7
0,5.0,0.51,1.1E-16,7.4,1,7.9,1,1.5,1.5E-15,2.2,0.044,3.8,0.044,51,7.2
0,6.0,0.51,1.1E-16,8.8,1.2,9.3,1.2,1.6,0.16,2.6,0.16,4.2,0.05,54,6.9
0,7.0,0.51,1.1E-16,10,1.4,11,1.4,2,0.069,2.6,0.078,4.6,0.048,56,6.7
0,8.0,0.51,1.1E-16,12,1.6,12,1.6,2,2.6E-15,2.9,0.054,4.9,0.054,58,6.4
0,9.0,0.51,1.1E-16,13,1.8,14,1.8,2,2.2E-15,3.2,0.061,5.3,0.061,60,6.2
0,10.0,0.51,1.1E-16,14,2,15,2,2.1,0.097,3.6,0.11,5.6,0.067,61,6
1,1.0,0.51,1.1E-16,1.2,0.14,1.7,0.14,0.51,5.4E-16,0.88,0.016,1.4,0.016,18,7.4
1,2.0,0.51,1.1E-16,2.4,0.29,2.9,0.29,1,9.2E-16,1.2,0.023,2.2,0.023,24,8.2
1,3.0,0.51,1.1E-16,3.6,0.43,4.1,0.43,1,1.3E-15,1.7,0.034,2.8,0.034,32,7.9
1,4.0,0.51,1.1E-16,4.8,0.57,5.3,0.57,1.3,0.25,2,0.24,3.3,0.039,36,7.6
1,5.0,0.51,1.1E-16,5.9,0.71,6.4,0.71,1.5,1.5E-15,2.2,0.044,3.8,0.044,40,7.2
1,6.0,0.51,1.1E-16,7.1,0.85,7.6,0.85,1.6,0.16,2.6,0.16,4.2,0.05,44,6.9
1,7.0,0.51,1.1E-16,8.2,0.98,8.7,0.98,2,0.069,2.6,0.078,4.6,0.048,47,6.6
1,8.0,0.51,1.1E-16,9.3,1.1,9.8,1.1,2,2.3E-15,2.9,0.054,4.9,0.054,49,6.4
1,9.0,0.51,1.1E-16,10,1.3,11,1.3,2,2.3E-15,3.2,0.061,5.3,0.061,51,6.1
1,10.0,0.51,1.1E-16,12,1.4,12,1.4,2.1,0.097,3.6,0.11,5.6,0.067,53,6
2,1.0,1,2.2E-16,0.83,0.076,1.9,0.076,1,7.3E-16,0.59,0.011,1.6,0.011,13,3.5
2,2.0,1,2.2E-16,1.7,0.15,2.7,0.15,1,9.7E-16,1.2,0.023,2.2,0.023,18,4.6
2,3.0,1,2.2E-16,2.5,0.22,3.5,0.22,1,1.1E-15,1.7,0.034,2.8,0.034,20,5.1
2,4.0,1,2.2E-16,3.3,0.3,4.3,0.3,1.3,0.25,2,0.24,3.3,0.039,22,5.5
2,5.0,1,2.2E-16,4.1,0.37,5.1,0.37,1.5,1.7E-15,2.2,0.044,3.8,0.044,26,5.5
2,6.0,1,2.2E-16,4.9,0.44,5.9,0.44,1.6,0.16,2.6,0.16,4.2,0.05,28,5.5
2,7.0,1,2.2E-16,5.6,0.51,6.7,0.51,2,0.069,2.6,0.078,4.6,0.048,31,5.4
2,8.0,1,2.2E-16,6.4,0.59,7.4,0.59,2,2E-15,2.9,0.054,4.9,0.054,33,5.3
2,9.0,1,2.2E-16,7.2,0.66,8.2,0.66,2,2.3E-15,3.2,0.061,5.3,0.061,35,5.2
2,10.0,1,2.2E-16,8,0.72,9,0.72,2.1,0.097,3.6,0.11,5.6,0.067,37,5.2
3,1.0,1.5,6.1E-08,0.59,0.041,2.1,0.041,1.5,8.8E-16,0.46,0.015,2,0.015,6.2,2
3,2.0,1.5,6.1E-08,1.2,0.083,2.7,0.083,1.5,1.4E-15,0.92,0.031,2.5,0.031,9.6,3
3,3.0,1.5,6.1E-08,1.8,0.12,3.3,0.12,1.5,1.6E-15,1.4,0.046,2.9,0.046,12,3.6
3,4.0,1.5,6.1E-08,2.3,0.16,3.9,0.16,1.5,0.035,1.8,0.059,3.4,0.059,13,4
3,5.0,1.5,6.1E-08,2.9,0.2,4.4,0.2,1.6,0.17,2.2,0.14,3.8,0.062,15,4.1
3,6.0,1.5,6.1E-08,3.5,0.24,5,0.24,1.7,0.23,2.5,0.21,4.2,0.053,16,4.2
3,7.0,1.5,6.1E-08,4,0.28,5.6,0.28,2,0.069,2.6,0.078,4.6,0.048,17,4.3
3,8.0,1.5,6.1E-08,4.6,0.32,6.1,0.32,2,2.1E-15,2.9,0.054,4.9,0.054,19,4.4
3,9.0,1.5,6.1E-08,5.1,0.36,6.7,0.36,2,2.3E-15,3.2,0.061,5.3,0.061,21,4.4
3,10.0,1.5,6.1E-08,5.7,0.4,7.2,0.4,2.1,0.097,3.6,0.11,5.6,0.067,22,4.5
4,1.0,2.1,0.1,0.45,0.021,2.5,0.1,2.1,0.1,0.39,0.014,2.5,0.098,2.4,1
4,2.0,2.1,0.1,0.9,0.042,3,0.11,2.1,0.1,0.78,0.027,2.9,0.097,4,1.7
4,3.0,2.1,0.1,1.3,0.062,3.4,0.12,2.1,0.1,1.2,0.041,3.2,0.098,5.2,2.2
4,4.0,2.1,0.1,1.8,0.083,3.9,0.13,2.1,0.13,1.5,0.077,3.6,0.099,6.1,2.6
4,5.0,2.1,0.1,2.2,0.1,4.3,0.15,2.1,0.15,1.9,0.11,4,0.096,6.9,2.9
4,6.0,2.1,0.1,2.6,0.12,4.7,0.16,2.1,0.17,2.2,0.14,4.4,0.095,7.6,3.2
4,7.0,2.1,0.1,3.1,0.14,5.1,0.18,2.2,0.23,2.5,0.19,4.7,0.09,8.4,3.3
