constant
buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.5,0.062,1.6,0.17,2.1,0.18,0.51,5E-16,0.88,0.027,1.4,0.027,33,6.6
0,2.0,0.5,0.062,3.2,0.34,3.7,0.34,0.96,0.16,1.3,0.15,2.2,0.032,39,6.9
0,3.0,0.5,0.062,4.8,0.51,5.3,0.5,1,1.2E-15,1.8,0.047,2.8,0.047,46,6.6
0,4.0,0.5,0.062,6.3,0.67,6.8,0.67,1.5,1.4E-15,1.8,0.056,3.3,0.056,51,6.1
0,5.0,0.5,0.062,7.9,0.84,8.4,0.83,1.5,0.068,2.2,0.079,3.8,0.07,54,5.8
0,6.0,0.5,0.062,9.4,1,9.9,1,1.7,0.24,2.5,0.22,4.2,0.075,57,5.5
0,7.0,0.5,0.062,11,1.2,11,1.2,2,0.096,2.5,0.11,4.6,0.076,60,5.2
0,8.0,0.5,0.062,12,1.3,13,1.3,2,2E-15,2.9,0.086,4.9,0.086,62,5
0,9.0,0.5,0.062,14,1.5,14,1.5,2,2.4E-15,3.2,0.096,5.2,0.096,63,4.8
0,10.0,0.5,0.062,15,1.6,16,1.6,2.1,0.068,3.5,0.11,5.6,0.11,64,4.7
1,1.0,0.51,1.1E-16,1.2,0.2,1.7,0.2,0.51,5.7E-16,0.88,0.027,1.4,0.027,15,10
1,2.0,0.51,1.1E-16,2.3,0.4,2.8,0.4,0.96,0.16,1.3,0.15,2.2,0.032,20,11
1,3.0,0.51,1.1E-16,3.4,0.6,4,0.6,1,1.2E-15,1.8,0.047,2.8,0.047,27,11
1,4.0,0.51,1.1E-16,4.6,0.79,5.1,0.79,1.5,1.3E-15,1.8,0.056,3.3,0.056,33,10
1,5.0,0.51,1.1E-16,5.7,0.99,6.2,0.99,1.5,0.068,2.2,0.079,3.8,0.07,38,9.8
1,6.0,0.51,1.1E-16,6.8,1.2,7.3,1.2,1.7,0.24,2.5,0.22,4.2,0.075,41,9.3
1,7.0,0.51,1.1E-16,7.9,1.4,8.4,1.4,2,0.096,2.5,0.11,4.6,0.076,44,8.9
1,8.0,0.51,1.1E-16,9,1.6,9.5,1.6,2,2.5E-15,2.9,0.086,4.9,0.086,47,8.5
1,9.0,0.51,1.1E-16,10,1.7,11,1.7,2,2.2E-15,3.2,0.096,5.2,0.096,49,8.3
1,10.0,0.51,1.1E-16,11,1.9,12,1.9,2.1,0.068,3.5,0.11,5.6,0.11,51,8
2,1.0,1,2.2E-16,0.8,0.043,1.8,0.043,1,7.4E-16,0.6,0.016,1.6,0.016,11,2
2,2.0,1,2.2E-16,1.6,0.085,2.6,0.085,1,9.7E-16,1.2,0.031,2.2,0.031,15,2.6
2,3.0,1,2.2E-16,2.4,0.13,3.4,0.13,1,1.2E-15,1.8,0.047,2.8,0.047,17,2.9
2,4.0,1,2.2E-16,3.2,0.17,4.2,0.17,1.5,1.2E-15,1.8,0.056,3.3,0.056,20,3.1
2,5.0,1,2.2E-16,3.9,0.21,4.9,0.21,1.5,0.068,2.2,0.079,3.8,0.07,24,3.1
2,6.0,1,2.2E-16,4.7,0.25,5.7,0.25,1.7,0.24,2.5,0.22,4.2,0.075,27,3
2,7.0,1,2.2E-16,5.4,0.29,6.5,0.29,2,0.096,2.5,0.11,4.6,0.076,29,2.9
2,8.0,1,2.2E-16,6.2,0.33,7.2,0.33,2,2.1E-15,2.9,0.086,4.9,0.086,32,2.9
2,9.0,1,2.2E-16,6.9,0.37,7.9,0.37,2,2.6E-15,3.2,0.096,5.2,0.096,34,2.9
2,10.0,1,2.2E-16,7.7,0.41,8.7,0.41,2.1,0.068,3.5,0.11,5.6,0.11,36,2.8
3,1.0,1.5,0.02,0.58,0.038,2.1,0.045,1.5,0.02,0.48,0.02,2,0.029,4.8,1.7
3,2.0,1.5,0.02,1.1,0.076,2.7,0.08,1.5,0.02,0.95,0.041,2.5,0.046,7.5,2.6
3,3.0,1.5,0.02,1.7,0.11,3.2,0.12,1.5,0.02,1.4,0.061,2.9,0.065,9.2,3.2
3,4.0,1.5,0.02,2.3,0.15,3.8,0.15,1.6,0.16,1.8,0.13,3.4,0.079,10,3.5
3,5.0,1.5,0.02,2.8,0.19,4.4,0.19,1.8,0.25,2.1,0.21,3.8,0.069,12,3.8
3,6.0,1.5,0.02,3.4,0.22,4.9,0.23,2,0.073,2.2,0.083,4.2,0.065,14,3.9
3,7.0,1.5,0.02,3.9,0.26,5.5,0.26,2,2.1E-15,2.5,0.075,4.6,0.075,16,4
3,8.0,1.5,0.02,4.5,0.3,6,0.3,2,2.2E-15,2.9,0.086,4.9,0.086,18,4
3,9.0,1.5,0.02,5,0.33,6.5,0.33,2,2.6E-15,3.2,0.096,5.2,0.096,20,4.1
3,10.0,1.5,0.02,5.5,0.37,7.1,0.37,2.1,0.068,3.5,0.11,5.6,0.11,21,4.1
4,1.0,2.2,0.18,0.44,0.021,2.6,0.19,2.2,0.18,0.37,0.018,2.6,0.17,2.6,0.92
4,2.0,2.2,0.18,0.87,0.041,3.1,0.2,2.2,0.18,0.73,0.035,2.9,0.16,4.4,1.6
4,3.0,2.2,0.18,1.3,0.061,3.5,0.2,2.2,0.18,1.1,0.053,3.3,0.16,5.8,2.1
4,4.0,2.2,0.18,1.7,0.082,3.9,0.21,2.2,0.19,1.4,0.07,3.6,0.15,6.9,2.5
4,5.0,2.2,0.18,2.1,0.1,4.3,0.23,2.2,0.19,1.8,0.087,4,0.14,7.8,2.8
4,6.0,2.2,0.18,2.6,0.12,4.7,0.24,2.2,0.21,2.1,0.11,4.3,0.13,8.6,3
4,7.0,2.2,0.18,3,0.14,5.2,0.25,2.2,0.22,2.4,0.14,4.7,0.13,9.3,3.2
4,8.0,2.2,0.18,3.4,0.16,5.6,0.26,2.3,0.22,2.8,0.16,5,0.12,9.9,3.4
4,9.0,2.2,0.18,3.8,0.18,6,0.28,2.3,0.23,3,0.18,5.3,0.12,11,3.4
4,10.0,2.2,0.18,4.2,0.2,6.4,0.29,2.4,0.23,3.3,0.19,5.7,0.12,11,3.5
V
buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.49,0.064,1.6,0.14,2.1,0.15,0.51,5.7E-16,0.88,0.019,1.4,0.019,33,5
0,2.0,0.49,0.064,3.2,0.28,3.7,0.28,1,1E-15,1.2,0.027,2.2,0.027,40,4.9
0,3.0,0.49,0.064,4.7,0.42,5.2,0.41,1,1.4E-15,1.7,0.041,2.8,0.041,47,4.6
0,4.0,0.49,0.064,6.3,0.55,6.7,0.55,1.3,0.25,2,0.23,3.3,0.046,51,4.4
0,5.0,0.49,0.064,7.8,0.69,8.3,0.68,1.5,1.2E-15,2.2,0.053,3.8,0.053,54,4.1
0,6.0,0.49,0.064,9.3,0.82,9.8,0.82,1.6,0.18,2.6,0.17,4.2,0.06,57,3.9
0,7.0,0.49,0.064,11,0.95,11,0.95,2,0.096,2.5,0.11,4.6,0.06,59,3.7
0,8.0,0.49,0.064,12,1.1,13,1.1,2,2.3E-15,2.9,0.068,4.9,0.068,61,3.6
0,9.0,0.49,0.064,14,1.2,14,1.2,2,1.8E-15,3.2,0.077,5.3,0.077,63,3.5
