constant
buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.44,0.14,1.6,0.15,2,0.2,0.51,5.4E-16,0.88,0.053,1.4,0.053,30,7
0,2.0,0.44,0.14,3.1,0.3,3.6,0.33,0.91,0.21,1.3,0.18,2.2,0.072,37,6
0,3.0,0.44,0.14,4.7,0.45,5.1,0.47,1.1,0.12,1.8,0.14,2.8,0.099,45,5.6
0,4.0,0.44,0.14,6.2,0.6,6.6,0.61,1.5,0.15,1.8,0.17,3.3,0.11,50,5.4
0,5.0,0.44,0.14,7.7,0.74,8.2,0.75,1.6,0.093,2.2,0.13,3.8,0.14,53,5.1
0,6.0,0.44,0.14,9.2,0.89,9.7,0.89,1.8,0.24,2.4,0.24,4.2,0.15,56,4.8
0,7.0,0.44,0.14,11,1,11,1,2,0.15,2.5,0.18,4.5,0.16,59,4.6
0,8.0,0.44,0.14,12,1.2,13,1.2,2,0.093,2.8,0.17,4.9,0.18,61,4.4
0,9.0,0.44,0.14,14,1.3,14,1.3,2.1,0.13,3.1,0.19,5.2,0.19,62,4.3
0,10.0,0.44,0.14,15,1.4,16,1.5,2.2,0.21,3.4,0.21,5.6,0.21,64,4.1
1,1.0,0.51,0,1.2,0.19,1.7,0.19,0.51,4.7E-16,0.89,0.056,1.4,0.056,15,10
1,2.0,0.51,0,2.3,0.37,2.8,0.37,0.91,0.21,1.3,0.18,2.2,0.072,20,11
1,3.0,0.51,0,3.4,0.56,3.9,0.56,1.1,0.12,1.8,0.14,2.8,0.099,27,10
1,4.0,0.51,0,4.5,0.74,5,0.74,1.5,0.15,1.8,0.17,3.3,0.11,33,9.9
1,5.0,0.51,0,5.6,0.92,6.2,0.92,1.6,0.093,2.2,0.13,3.8,0.14,38,9.4
1,6.0,0.51,0,6.7,1.1,7.3,1.1,1.8,0.24,2.4,0.24,4.2,0.15,41,9
1,7.0,0.51,0,7.8,1.3,8.3,1.3,2,0.15,2.5,0.18,4.5,0.16,44,8.6
1,8.0,0.51,0,8.9,1.5,9.4,1.5,2,0.093,2.8,0.17,4.9,0.18,47,8.3
1,9.0,0.51,0,10,1.6,10,1.6,2.1,0.13,3.1,0.19,5.2,0.19,49,8
1,10.0,0.51,0,11,1.8,12,1.8,2.2,0.21,3.4,0.21,5.6,0.21,51,7.8
2,1.0,1,0.071,0.79,0.047,1.8,0.074,1,0.067,0.61,0.049,1.6,0.049,9.6,2.9
2,2.0,1,0.071,1.6,0.094,2.6,0.1,1,7.6E-16,1.2,0.075,2.2,0.075,14,3.7
2,3.0,1,0.071,2.4,0.14,3.4,0.14,1.1,0.13,1.7,0.14,2.8,0.11,16,4
2,4.0,1,0.071,3.1,0.19,4.1,0.18,1.5,0.15,1.8,0.17,3.3,0.12,19,3.9
2,5.0,1,0.071,3.9,0.23,4.9,0.22,1.6,0.11,2.2,0.13,3.8,0.14,23,3.9
2,6.0,1,0.071,4.6,0.28,5.6,0.27,1.8,0.24,2.4,0.23,4.2,0.15,26,3.8
2,7.0,1,0.071,5.4,0.32,6.4,0.31,2,0.15,2.5,0.18,4.5,0.16,29,3.7
2,8.0,1,0.071,6.1,0.36,7.1,0.35,2,0.093,2.8,0.17,4.9,0.18,31,3.7
2,9.0,1,0.071,6.9,0.41,7.9,0.39,2.1,0.13,3.1,0.19,5.2,0.19,33,3.7
2,10.0,1,0.071,7.6,0.45,8.6,0.44,2.2,0.21,3.4,0.21,5.6,0.21,35,3.7
3,1.0,1.7,0.18,0.57,0.04,2.2,0.18,1.7,0.18,0.46,0.037,2.1,0.17,4.8,1.8
3,2.0,1.7,0.18,1.1,0.079,2.8,0.18,1.7,0.19,0.91,0.077,2.6,0.16,7.6,2.8
3,3.0,1.7,0.18,1.7,0.12,3.3,0.19,1.7,0.21,1.3,0.12,3,0.15,9.7,3.5
3,4.0,1.7,0.18,2.2,0.16,3.9,0.21,1.8,0.22,1.6,0.15,3.4,0.14,12,4
3,5.0,1.7,0.18,2.8,0.19,4.4,0.23,1.9,0.21,1.9,0.16,3.8,0.14,14,4.1
3,6.0,1.7,0.18,3.3,0.23,5,0.25,2,0.12,2.2,0.15,4.2,0.15,16,4.2
3,7.0,1.7,0.18,3.9,0.27,5.5,0.28,2,0.081,2.5,0.16,4.6,0.16,17,4.3
3,8.0,1.7,0.18,4.4,0.31,6.1,0.31,2.1,0.095,2.8,0.17,4.9,0.18,19,4.4
3,9.0,1.7,0.18,4.9,0.34,6.6,0.34,2.1,0.15,3.1,0.19,5.2,0.2,20,4.5
3,10.0,1.7,0.18,5.4,0.38,7.1,0.38,2.2,0.21,3.4,0.22,5.6,0.21,21,4.6
