buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.47,0.12,1.4,0.2,1.9,0.22,0.51,5.5E-16,0.92,0.078,1.4,0.078,23,9.1
0,2.0,0.47,0.12,2.8,0.41,3.3,0.41,0.94,0.18,1.3,0.15,2.3,0.11,30,9.2
0,3.0,0.47,0.12,4.2,0.61,4.6,0.6,1.1,0.15,1.8,0.17,2.9,0.15,37,8.9
0,4.0,0.47,0.12,5.6,0.8,6,0.8,1.4,0.21,2,0.2,3.4,0.17,43,8.6
0,5.0,0.47,0.12,6.9,1,7.4,0.99,1.6,0.19,2.2,0.21,3.8,0.19,47,8.2
0,6.0,0.47,0.12,8.2,1.2,8.7,1.2,1.9,0.23,2.4,0.22,4.3,0.2,50,7.7
0,7.0,0.47,0.12,9.6,1.4,10,1.4,2,0.15,2.6,0.22,4.6,0.22,53,7.4
0,8.0,0.47,0.12,11,1.6,11,1.6,2.1,0.17,2.9,0.24,5,0.25,55,7.1
0,9.0,0.47,0.12,12,1.8,13,1.8,2.2,0.21,3.1,0.24,5.3,0.27,57,6.9
0,10.0,0.47,0.12,13,2,14,1.9,2.3,0.25,3.4,0.28,5.7,0.28,59,6.6
1,1.0,0.55,0.1,1.2,0.13,1.7,0.15,0.56,0.13,0.89,0.086,1.5,0.11,16,6.6
1,2.0,0.55,0.1,2.4,0.26,2.9,0.25,0.94,0.18,1.3,0.15,2.3,0.11,22,7
1,3.0,0.55,0.1,3.5,0.38,4.1,0.37,1.1,0.15,1.8,0.17,2.9,0.15,29,6.9
1,4.0,0.55,0.1,4.7,0.51,5.2,0.49,1.4,0.21,2,0.2,3.4,0.17,35,6.6
1,5.0,0.55,0.1,5.8,0.63,6.4,0.62,1.6,0.19,2.2,0.21,3.8,0.19,39,6.3
1,6.0,0.55,0.1,7,0.75,7.5,0.74,1.9,0.23,2.4,0.22,4.3,0.2,43,5.9
1,7.0,0.55,0.1,8.1,0.87,8.6,0.86,2,0.15,2.6,0.22,4.6,0.22,46,5.7
1,8.0,0.55,0.1,9.2,0.99,9.7,0.98,2.1,0.17,2.9,0.24,5,0.25,48,5.5
1,9.0,0.55,0.1,10,1.1,11,1.1,2.2,0.21,3.1,0.24,5.3,0.27,50,5.3
1,10.0,0.55,0.1,11,1.2,12,1.2,2.3,0.25,3.4,0.28,5.7,0.28,52,5.2
2,1.0,1.1,0.15,0.81,0.087,1.9,0.18,1.1,0.15,0.62,0.055,1.7,0.15,9.5,4.5
2,2.0,1.1,0.15,1.6,0.17,2.7,0.24,1.1,0.17,1.2,0.11,2.3,0.16,14,6
2,3.0,1.1,0.15,2.4,0.26,3.5,0.31,1.2,0.24,1.7,0.17,2.9,0.17,17,6.6
2,4.0,1.1,0.15,3.2,0.34,4.3,0.38,1.4,0.21,2,0.19,3.4,0.17,20,6.6
2,5.0,1.1,0.15,4,0.43,5.1,0.46,1.7,0.21,2.2,0.2,3.9,0.19,23,6.7
2,6.0,1.1,0.15,4.7,0.51,5.8,0.54,1.9,0.23,2.4,0.22,4.3,0.2,26,6.7
2,7.0,1.1,0.15,5.5,0.59,6.6,0.62,2,0.15,2.6,0.22,4.6,0.22,29,6.6
2,8.0,1.1,0.15,6.2,0.67,7.3,0.7,2.1,0.17,2.9,0.24,5,0.25,32,6.4
2,9.0,1.1,0.15,7,0.75,8.1,0.78,2.2,0.21,3.1,0.24,5.3,0.27,34,6.3
2,10.0,1.1,0.15,7.7,0.83,8.8,0.86,2.3,0.25,3.4,0.27,5.7,0.28,35,6.2
