buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.93,0.23,1.4,0.21,2.4,0.28,0.94,0.23,0.98,0.17,1.9,0.082,18,8.6
0,2.0,0.93,0.23,2.9,0.41,3.8,0.43,1,1.3E-15,1.8,0.1,2.8,0.1,24,8.8
0,3.0,0.93,0.23,4.3,0.62,5.2,0.61,1,0.12,2.7,0.18,3.7,0.15,27,9.2
0,4.0,0.93,0.23,5.7,0.82,6.6,0.8,1.9,0.35,2.6,0.32,4.5,0.14,31,9
0,5.0,0.93,0.23,7.1,1,8,1,2,2.5E-15,3,0.17,5.1,0.17,35,8.9
0,6.0,0.93,0.23,8.4,1.2,9.4,1.2,2.1,0.24,3.6,0.27,5.7,0.2,38,8.7
0,7.0,0.93,0.23,9.8,1.4,11,1.4,2.4,0.48,3.8,0.45,6.2,0.21,41,8.5
0,8.0,0.93,0.23,11,1.6,12,1.6,2.8,0.43,3.9,0.42,6.7,0.22,43,8.3
0,9.0,0.93,0.23,12,1.8,13,1.8,3.1,0.17,4.1,0.23,7.2,0.24,46,8.1
0,10.0,0.93,0.23,14,2,15,2,3.1,0.24,4.5,0.28,7.6,0.26,47,7.9
1,1.0,1,2.2E-16,1.2,0.14,2.2,0.14,1,7.7E-16,0.91,0.054,1.9,0.054,11,5.7
1,2.0,1,2.2E-16,2.3,0.28,3.3,0.28,1,1.2E-15,1.8,0.11,2.8,0.11,14,7.3
1,3.0,1,2.2E-16,3.5,0.41,4.5,0.41,1,0.17,2.7,0.19,3.7,0.16,16,8
1,4.0,1,2.2E-16,4.6,0.54,5.6,0.54,1.9,0.35,2.6,0.32,4.5,0.14,20,8.1
1,5.0,1,2.2E-16,5.7,0.68,6.7,0.68,2,2.6E-15,3,0.17,5.1,0.17,24,7.9
1,6.0,1,2.2E-16,6.8,0.81,7.8,0.81,2.1,0.24,3.6,0.27,5.7,0.2,27,7.8
1,7.0,1,2.2E-16,7.9,0.94,8.9,0.94,2.4,0.48,3.8,0.45,6.2,0.21,30,7.6
1,8.0,1,2.2E-16,9,1.1,10,1.1,2.8,0.43,3.9,0.42,6.7,0.22,32,7.4
1,9.0,1,2.2E-16,10,1.2,11,1.2,3.1,0.17,4.1,0.23,7.2,0.24,35,7.2
1,10.0,1,2.2E-16,11,1.3,12,1.3,3.1,0.24,4.5,0.28,7.6,0.26,37,7
2,1.0,2,0.093,0.83,0.075,2.9,0.12,2,0.093,0.63,0.039,2.7,0.089,7,2.8
2,2.0,2,0.093,1.7,0.15,3.7,0.17,2,0.092,1.2,0.078,3.3,0.1,11,4.1
2,3.0,2,0.093,2.5,0.22,4.5,0.24,2,0.069,1.8,0.11,3.9,0.13,13,4.9
2,4.0,2,0.093,3.3,0.3,5.3,0.31,2.1,0.12,2.4,0.16,4.5,0.16,15,5.4
2,5.0,2,0.093,4.1,0.37,6.1,0.38,2.1,0.14,3,0.18,5.1,0.19,16,5.7
2,6.0,2,0.093,4.9,0.44,6.9,0.45,2.2,0.31,3.5,0.28,5.7,0.21,17,5.9
2,7.0,2,0.093,5.7,0.51,7.7,0.52,2.5,0.5,3.7,0.45,6.2,0.22,19,6
2,8.0,2,0.093,6.4,0.58,8.5,0.59,2.8,0.43,3.9,0.42,6.7,0.22,20,6.2
2,9.0,2,0.093,7.2,0.65,9.2,0.66,3.1,0.17,4.1,0.23,7.2,0.24,22,6.2
2,10.0,2,0.093,8,0.72,10,0.72,3.2,0.27,4.4,0.29,7.6,0.26,24,6.2
