constant
buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.46,0.1,1.5,0.19,1.9,0.22,0.51,0.014,0.89,0.11,1.4,0.11,27,8.6
0,2.0,0.46,0.1,2.9,0.37,3.4,0.39,0.91,0.2,1.3,0.16,2.2,0.15,34,8.2
0,3.0,0.46,0.1,4.4,0.56,4.8,0.57,1.1,0.14,1.7,0.18,2.8,0.19,42,7.9
0,4.0,0.46,0.1,5.8,0.74,6.3,0.75,1.3,0.23,2,0.24,3.3,0.22,46,7.2
0,5.0,0.46,0.1,7.2,0.92,7.7,0.93,1.6,0.22,2.2,0.24,3.8,0.25,50,6.8
0,6.0,0.46,0.1,8.6,1.1,9.1,1.1,1.8,0.22,2.4,0.24,4.2,0.28,54,6.4
0,7.0,0.46,0.1,10,1.3,10,1.3,2,0.22,2.6,0.28,4.5,0.3,56,6.1
0,8.0,0.46,0.1,11,1.4,12,1.5,2.1,0.24,2.8,0.3,4.9,0.33,58,5.8
0,9.0,0.46,0.1,13,1.6,13,1.6,2.2,0.26,3,0.3,5.2,0.35,60,5.6
0,10.0,0.46,0.1,14,1.8,15,1.8,2.3,0.27,3.2,0.31,5.5,0.37,62,5.4
1,1.0,0.61,0.16,1.1,0.17,1.7,0.23,0.62,0.17,0.83,0.094,1.5,0.15,16,9.1
1,2.0,0.61,0.16,2.2,0.34,2.9,0.37,0.91,0.2,1.3,0.16,2.2,0.16,22,10
1,3.0,0.61,0.16,3.4,0.51,4,0.52,1.1,0.15,1.7,0.17,2.8,0.19,29,9.5
1,4.0,0.61,0.16,4.5,0.67,5.1,0.68,1.3,0.24,2,0.24,3.3,0.22,34,9.1
1,5.0,0.61,0.16,5.5,0.84,6.2,0.84,1.6,0.23,2.2,0.24,3.8,0.25,38,8.8
1,6.0,0.61,0.16,6.6,1,7.2,1,1.8,0.22,2.4,0.24,4.2,0.28,41,8.4
1,7.0,0.61,0.16,7.7,1.2,8.3,1.2,2,0.22,2.6,0.28,4.5,0.3,44,8.1
1,8.0,0.61,0.16,8.7,1.3,9.4,1.3,2.1,0.24,2.8,0.3,4.9,0.33,47,7.9
1,9.0,0.61,0.16,9.8,1.5,10,1.5,2.2,0.26,3,0.3,5.2,0.35,49,7.6
1,10.0,0.61,0.16,11,1.6,11,1.6,2.3,0.27,3.2,0.31,5.5,0.37,51,7.4
2,1.0,1.2,0.22,0.77,0.064,2,0.24,1.2,0.22,0.58,0.056,1.8,0.22,9.6,3.3
2,2.0,1.2,0.22,1.5,0.13,2.7,0.27,1.2,0.22,1.1,0.11,2.3,0.22,14,4.6
2,3.0,1.2,0.22,2.3,0.19,3.5,0.3,1.3,0.26,1.5,0.17,2.9,0.24,17,5
2,4.0,1.2,0.22,3.1,0.25,4.2,0.35,1.5,0.25,1.9,0.19,3.3,0.25,21,5.1
2,5.0,1.2,0.22,3.8,0.31,5,0.4,1.7,0.24,2.1,0.22,3.8,0.27,24,5.1
