buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.5,0.038,1.4,0.16,1.9,0.16,0.51,6.1E-16,0.89,0.023,1.4,0.023,26,7.1
0,2.0,0.5,0.038,2.8,0.32,3.3,0.32,1,9.5E-16,1.2,0.033,2.2,0.033,32,7.7
0,3.0,0.5,0.038,4.1,0.48,4.6,0.48,1,1.3E-15,1.8,0.049,2.8,0.049,39,7.4
0,4.0,0.5,0.038,5.5,0.64,6,0.63,1.1,0.2,2.3,0.18,3.4,0.062,43,7.1
0,5.0,0.5,0.038,6.8,0.79,7.3,0.79,1.7,0.24,2.2,0.23,3.9,0.057,47,6.8
0,6.0,0.5,0.038,8.2,0.94,8.7,0.94,2,2E-15,2.2,0.061,4.2,0.061,50,6.4
0,7.0,0.5,0.038,9.5,1.1,10,1.1,2,2.2E-15,2.5,0.071,4.6,0.071,53,6.1
0,8.0,0.5,0.038,11,1.2,11,1.2,2,2.4E-15,2.9,0.08,4.9,0.08,56,5.8
0,9.0,0.5,0.038,12,1.4,13,1.4,2,2.4E-15,3.2,0.09,5.3,0.09,57,5.7
0,10.0,0.5,0.038,13,1.5,14,1.5,2.1,0.11,3.6,0.13,5.6,0.099,59,5.5
1,1.0,0.51,1.1E-16,1.2,0.13,1.7,0.13,0.51,6.1E-16,0.89,0.023,1.4,0.023,16,6.2
1,2.0,0.51,1.1E-16,2.3,0.25,2.8,0.25,1,8.5E-16,1.2,0.033,2.2,0.033,21,6.9
1,3.0,0.51,1.1E-16,3.4,0.37,4,0.37,1,1.1E-15,1.8,0.049,2.8,0.049,29,6.6
1,4.0,0.51,1.1E-16,4.6,0.49,5.1,0.49,1.1,0.2,2.3,0.18,3.4,0.062,33,6.4
1,5.0,0.51,1.1E-16,5.7,0.61,6.2,0.61,1.7,0.24,2.2,0.23,3.9,0.057,37,6.3
1,6.0,0.51,1.1E-16,6.8,0.73,7.3,0.73,2,1.9E-15,2.2,0.061,4.2,0.061,42,6
1,7.0,0.51,1.1E-16,7.9,0.85,8.4,0.85,2,2.1E-15,2.5,0.071,4.6,0.071,45,5.7
1,8.0,0.51,1.1E-16,9,0.97,9.5,0.97,2,2E-15,2.9,0.08,4.9,0.08,47,5.5
1,9.0,0.51,1.1E-16,10,1.1,11,1.1,2,2.6E-15,3.2,0.09,5.3,0.09,49,5.3
1,10.0,0.51,1.1E-16,11,1.2,12,1.2,2.1,0.11,3.6,0.13,5.6,0.099,51,5.1
2,1.0,1,2.2E-16,0.8,0.066,1.8,0.066,1,7.3E-16,0.6,0.016,1.6,0.016,11,3.3
