constant
buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.47,0.1,1.5,0.19,2,0.21,0.51,6.2E-16,0.92,0.082,1.4,0.082,28,8
0,2.0,0.47,0.1,3,0.37,3.5,0.38,0.93,0.18,1.3,0.17,2.3,0.11,35,7.6
0,3.0,0.47,0.1,4.5,0.56,5,0.56,1.1,0.15,1.8,0.17,2.9,0.16,42,7.3
0,4.0,0.47,0.1,6,0.74,6.5,0.74,1.4,0.22,2,0.21,3.4,0.17,47,6.9
0,5.0,0.47,0.1,7.5,0.92,8,0.92,1.6,0.19,2.2,0.2,3.9,0.2,51,6.5
0,6.0,0.47,0.1,8.9,1.1,9.4,1.1,1.9,0.23,2.4,0.23,4.3,0.21,54,6.1
0,7.0,0.47,0.1,10,1.3,11,1.3,2,0.16,2.6,0.22,4.6,0.23,57,5.8
0,8.0,0.47,0.1,12,1.4,12,1.4,2.1,0.17,2.9,0.23,5,0.25,59,5.6
0,9.0,0.47,0.1,13,1.6,14,1.6,2.2,0.21,3.1,0.25,5.3,0.27,61,5.4
0,10.0,0.47,0.1,15,1.8,15,1.8,2.3,0.25,3.4,0.26,5.7,0.29,62,5.2
1,1.0,0.56,0.12,1.2,0.16,1.7,0.2,0.56,0.13,0.89,0.086,1.5,0.11,15,8.1
1,2.0,0.56,0.12,2.3,0.32,2.9,0.34,0.94,0.18,1.3,0.17,2.3,0.11,21,8.9
1,3.0,0.56,0.12,3.5,0.48,4,0.49,1.1,0.15,1.8,0.17,2.9,0.16,28,8.5
1,4.0,0.56,0.12,4.6,0.63,5.1,0.64,1.4,0.22,2,0.21,3.4,0.17,33,8.2
1,5.0,0.56,0.12,5.7,0.79,6.3,0.79,1.6,0.19,2.2,0.2,3.9,0.2,37,7.8
1,6.0,0.56,0.12,6.8,0.94,7.4,0.94,1.9,0.23,2.4,0.23,4.3,0.21,41,7.5
1,7.0,0.56,0.12,7.9,1.1,8.5,1.1,2,0.16,2.6,0.22,4.6,0.23,44,7.2
1,8.0,0.56,0.12,9,1.2,9.5,1.2,2.1,0.17,2.9,0.23,5,0.25,47,6.9
1,9.0,0.56,0.12,10,1.4,11,1.4,2.2,0.21,3.1,0.25,5.3,0.27,49,6.6
1,10.0,0.56,0.12,11,1.5,12,1.5,2.3,0.25,3.4,0.26,5.7,0.29,51,6.4
2,1.0,1.1,0.16,0.78,0.064,1.9,0.17,1.1,0.16,0.62,0.054,1.7,0.16,8.9,3.5
2,2.0,1.1,0.16,1.6,0.13,2.7,0.2,1.1,0.18,1.2,0.11,2.3,0.17,13,4.7
2,3.0,1.1,0.16,2.3,0.19,3.4,0.24,1.2,0.25,1.7,0.16,2.9,0.18,16,5.1
2,4.0,1.1,0.16,3.1,0.25,4.2,0.29,1.4,0.23,2,0.19,3.4,0.18,19,5.2
2,5.0,1.1,0.16,3.8,0.32,5,0.35,1.7,0.21,2.2,0.19,3.9,0.2,22,5.2
