constant
buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.87,0.29,1.6,0.16,2.4,0.33,0.89,0.29,0.99,0.2,1.9,0.1,22,8.7
0,2.0,0.87,0.29,3.1,0.31,4,0.42,1,1.2E-15,1.8,0.11,2.8,0.11,30,7.2
0,3.0,0.87,0.29,4.7,0.46,5.5,0.54,1,0.11,2.6,0.19,3.7,0.17,33,6.6
0,4.0,0.87,0.29,6.2,0.62,7.1,0.68,1.8,0.43,2.6,0.37,4.4,0.15,37,6.2
0,5.0,0.87,0.29,7.7,0.77,8.6,0.82,2,2.1E-15,3,0.18,5,0.18,41,5.9
0,6.0,0.87,0.29,9.2,0.92,10,0.96,2.1,0.23,3.5,0.27,5.6,0.21,44,5.8
0,7.0,0.87,0.29,11,1.1,12,1.1,2.4,0.48,3.7,0.47,6.1,0.23,47,5.7
0,8.0,0.87,0.29,12,1.2,13,1.2,2.9,0.39,3.7,0.42,6.6,0.24,49,5.6
0,9.0,0.87,0.29,14,1.4,14,1.4,3.1,0.12,4,0.26,7,0.27,51,5.5
0,10.0,0.87,0.29,15,1.5,16,1.5,3.1,0.23,4.3,0.29,7.4,0.29,53,5.3
1,1.0,1,2.2E-16,1.2,0.19,2.2,0.19,1,8.4E-16,0.89,0.06,1.9,0.06,12,7.5
1,2.0,1,2.2E-16,2.3,0.38,3.3,0.38,1,1.1E-15,1.8,0.12,2.8,0.12,15,9.5
1,3.0,1,2.2E-16,3.4,0.57,4.5,0.57,1.1,0.19,2.6,0.2,3.7,0.17,17,10
1,4.0,1,2.2E-16,4.6,0.76,5.6,0.76,1.8,0.43,2.6,0.37,4.4,0.15,20,11
1,5.0,1,2.2E-16,5.7,0.94,6.7,0.94,2,2.3E-15,3,0.18,5,0.18,24,10
1,6.0,1,2.2E-16,6.8,1.1,7.8,1.1,2.1,0.23,3.5,0.27,5.6,0.21,27,10
1,7.0,1,2.2E-16,7.9,1.3,8.9,1.3,2.4,0.48,3.7,0.47,6.1,0.23,30,10
1,8.0,1,2.2E-16,9,1.5,10,1.5,2.9,0.39,3.7,0.42,6.6,0.24,32,9.8
1,9.0,1,2.2E-16,10,1.7,11,1.7,3.1,0.12,4,0.26,7,0.27,35,9.6
1,10.0,1,2.2E-16,11,1.8,12,1.8,3.1,0.23,4.3,0.29,7.4,0.29,37,9.4
2,1.0,2,0.13,0.79,0.045,2.8,0.12,2,0.13,0.62,0.05,2.6,0.1,6.3,2.1
2,2.0,2,0.13,1.6,0.09,3.6,0.14,2,0.13,1.2,0.1,3.2,0.099,9.7,3.3
2,3.0,2,0.13,2.4,0.13,4.4,0.16,2,0.078,1.8,0.13,3.8,0.12,12,4
2,4.0,2,0.13,3.1,0.18,5.1,0.2,2,2E-15,2.4,0.16,4.4,0.16,14,4.3
2,5.0,2,0.13,3.9,0.22,5.9,0.23,2.1,0.13,3,0.19,5,0.2,15,4.6
2,6.0,2,0.13,4.7,0.27,6.7,0.27,2.1,0.27,3.5,0.28,5.6,0.22,16,4.6
2,7.0,2,0.13,5.4,0.31,7.4,0.31,2.5,0.49,3.7,0.46,6.1,0.23,17,4.5
2,8.0,2,0.13,6.1,0.35,8.2,0.35,2.9,0.39,3.7,0.42,6.6,0.24,19,4.4
2,9.0,2,0.13,6.9,0.39,8.9,0.39,3.1,0.12,4,0.27,7,0.27,21,4.4
2,10.0,2,0.13,7.6,0.43,9.6,0.43,3.2,0.27,4.3,0.29,7.4,0.29,22,4.4
3,1.0,3.4,0.4,0.57,0.039,4,0.4,3.4,0.4,0.46,0.037,3.9,0.38,2.8,1.1
3,2.0,3.4,0.4,1.1,0.078,4.5,0.4,3.4,0.4,0.91,0.074,4.3,0.37,4.8,1.8
3,3.0,3.4,0.4,1.7,0.12,5.1,0.4,3.4,0.4,1.4,0.11,4.8,0.36,6.4,2.4
3,4.0,3.4,0.4,2.2,0.15,5.6,0.41,3.4,0.42,1.8,0.16,5.2,0.35,7.7,2.8
3,5.0,3.4,0.4,2.8,0.19,6.2,0.42,3.4,0.44,2.2,0.2,5.6,0.33,8.9,3.2
3,6.0,3.4,0.4,3.3,0.23,6.7,0.43,3.5,0.46,2.6,0.24,6.1,0.32,9.9,3.5
3,7.0,3.4,0.4,3.9,0.27,7.3,0.45,3.5,0.47,2.9,0.29,6.5,0.31,11,3.7
3,8.0,3.4,0.4,4.4,0.3,7.8,0.46,3.6,0.46,3.2,0.3,6.9,0.31,12,3.9
3,9.0,3.4,0.4,4.9,0.34,8.3,0.48,3.7,0.45,3.5,0.31,7.2,0.3,13,4.1
3,10.0,3.4,0.4,5.4,0.38,8.8,0.51,3.8,0.42,3.8,0.32,7.6,0.3,14,4.2
4,1.0,5.1,0.44,0.44,0.033,5.5,0.45,5.1,0.44,0.34,0.021,5.4,0.44,1.7,0.59
4,2.0,5.1,0.44,0.87,0.065,5.9,0.46,5.1,0.44,0.68,0.042,5.7,0.45,3.1,1.1
4,3.0,5.1,0.44,1.3,0.097,6.4,0.47,5.1,0.44,1,0.062,6.1,0.45,4.3,1.5
4,4.0,5.1,0.44,1.7,0.13,6.8,0.49,5.1,0.44,1.4,0.081,6.4,0.45,5.4,1.8
4,5.0,5.1,0.44,2.1,0.16,7.2,0.5,5.1,0.44,1.7,0.096,6.7,0.46,6.3,2.1
4,6.0,5.1,0.44,2.6,0.19,7.6,0.52,5.1,0.44,2,0.12,7.1,0.46,7.1,2.4
4,7.0,5.1,0.44,3,0.22,8,0.53,5.1,0.45,2.3,0.13,7.4,0.47,7.9,2.6
4,8.0,5.1,0.44,3.4,0.25,8.4,0.55,5.1,0.46,2.6,0.15,7.7,0.47,8.6,2.7
4,9.0,5.1,0.44,3.8,0.28,8.8,0.57,5.1,0.45,2.9,0.16,8,0.48,9.2,2.9
4,10.0,5.1,0.44,4.2,0.31,9.2,0.59,5.1,0.46,3.2,0.17,8.3,0.48,9.8,3
V
buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.95,0.16,1.6,0.14,2.6,0.22,0.98,0.14,0.91,0.12,1.9,0.035,25,6.2
0,2.0,0.95,0.16,3.2,0.29,4.1,0.33,1,1.2E-15,1.7,0.051,2.8,0.051,33,5.5
0,3.0,0.95,0.16,4.8,0.43,5.7,0.46,1,1.4E-15,2.6,0.076,3.6,0.076,36,5.4
0,4.0,0.95,0.16,6.3,0.57,7.3,0.59,2,2.2E-15,2.3,0.073,4.3,0.073,40,5.2
0,5.0,0.95,0.16,7.9,0.71,8.8,0.73,2,2E-15,2.9,0.09,4.9,0.09,44,5
0,6.0,0.95,0.16,9.4,0.85,10,0.86,2,2.6E-15,3.4,0.11,5.5,0.11,47,4.9
0,7.0,0.95,0.16,11,0.98,12,1,2,2.6E-15,4,0.13,6,0.13,49,4.8
0,8.0,0.95,0.16,12,1.1,13,1.1,2.6,0.51,4,0.46,6.5,0.12,51,4.6
0,9.0,0.95,0.16,14,1.3,15,1.3,3,0.26,4,0.26,7,0.12,53,4.4
0,10.0,0.95,0.16,15,1.4,16,1.4,3.1,2.7E-15,4.3,0.13,7.4,0.13,54,4.3
1,1.0,1,2.2E-16,1.2,0.24,2.2,0.24,1,7.7E-16,0.88,0.025,1.9,0.025,12,9.7
1,2.0,1,2.2E-16,2.3,0.47,3.3,0.47,1,1.1E-15,1.7,0.051,2.8,0.051,16,12
1,3.0,1,2.2E-16,3.5,0.7,4.5,0.7,1,1.3E-15,2.6,0.076,3.6,0.076,17,13
1,4.0,1,2.2E-16,4.6,0.93,5.6,0.93,2,2E-15,2.3,0.073,4.3,0.073,21,14
1,5.0,1,2.2E-16,5.7,1.2,6.7,1.2,2,1.7E-15,2.9,0.09,4.9,0.09,25,13
1,6.0,1,2.2E-16,6.8,1.4,7.9,1.4,2,2.3E-15,3.4,0.11,5.5,0.11,28,13
1,7.0,1,2.2E-16,7.9,1.6,9,1.6,2,2.5E-15,4,0.13,6,0.13,31,13
1,8.0,1,2.2E-16,9,1.8,10,1.8,2.6,0.51,4,0.46,6.5,0.12,33,13
1,9.0,1,2.2E-16,10,2,11,2,3,0.26,4,0.26,7,0.12,35,13
1,10.0,1,2.2E-16,11,2.3,12,2.3,3.1,2.8E-15,4.3,0.13,7.4,0.13,37,12
2,1.0,2,0.047,0.8,0.04,2.8,0.06,2,0.046,0.59,0.027,2.6,0.031,7.6,1.5
2,2.0,2,0.047,1.6,0.08,3.6,0.09,2,1.6E-15,1.2,0.037,3.2,0.037,12,2.2
2,3.0,2,0.047,2.4,0.12,4.4,0.12,2,1.4E-15,1.7,0.055,3.8,0.055,15,2.5
2,4.0,2,0.047,3.2,0.16,5.2,0.16,2,1.9E-15,2.3,0.073,4.3,0.073,16,2.7
2,5.0,2,0.047,3.9,0.2,6,0.2,2,1.8E-15,2.9,0.09,4.9,0.09,18,2.9
2,6.0,2,0.047,4.7,0.23,6.7,0.24,2,2.2E-15,3.4,0.11,5.5,0.11,19,3.1
2,7.0,2,0.047,5.5,0.27,7.5,0.27,2,2.5E-15,4,0.13,6,0.13,20,3.2
2,8.0,2,0.047,6.2,0.31,8.3,0.31,2.6,0.51,4,0.46,6.5,0.12,21,3.2
2,9.0,2,0.047,7,0.35,9,0.35,3,0.26,4,0.26,7,0.12,22,3.2
2,10.0,2,0.047,7.7,0.38,9.7,0.38,3.1,2.6E-15,4.3,0.13,7.4,0.13,24,3.2
3,1.0,3.1,4.3E-16,0.57,0.033,3.6,0.033,3.1,1.6E-15,0.47,0.027,3.5,0.027,2.8,0.85
3,2.0,3.1,4.3E-16,1.1,0.065,4.2,0.065,3.1,1.6E-15,0.93,0.053,4,0.053,4.8,1.4
3,3.0,3.1,4.3E-16,1.7,0.097,4.7,0.097,3.1,2.1E-15,1.4,0.08,4.4,0.08,6.3,1.9
