buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.5,0.045,1.6,0.19,2.1,0.19,0.51,6.5E-16,0.86,0.012,1.4,0.012,33,7
0,2.0,0.5,0.045,3.1,0.37,3.6,0.37,1,9.4E-16,1.1,0.017,2.1,0.017,40,7.3
0,3.0,0.5,0.045,4.6,0.56,5.1,0.55,1,1.2E-15,1.6,0.025,2.7,0.025,47,6.9
0,4.0,0.5,0.045,6.1,0.74,6.6,0.73,1,1.1E-15,2.2,0.034,3.2,0.034,51,6.6
0,5.0,0.5,0.045,7.6,0.92,8.1,0.92,1.2,0.24,2.5,0.23,3.7,0.037,53,6.4
0,6.0,0.5,0.045,9.1,1.1,9.6,1.1,1.6,0.11,2.6,0.1,4.2,0.037,56,6.1
0,7.0,0.5,0.045,11,1.3,11,1.3,2,2.2E-15,2.5,0.034,4.6,0.034,58,5.9
0,8.0,0.5,0.045,12,1.5,13,1.4,2,2.4E-15,2.9,0.038,4.9,0.038,60,5.6
0,9.0,0.5,0.045,13,1.6,14,1.6,2,0.064,3.2,0.067,5.2,0.043,62,5.4
0,10.0,0.5,0.045,15,1.8,15,1.8,2.4,0.25,3.2,0.24,5.6,0.044,63,5.3
1,1.0,0.51,0,1.2,0.14,1.7,0.14,0.51,6.4E-16,0.86,0.012,1.4,0.012,20,7.1
1,2.0,0.51,0,2.4,0.28,2.9,0.28,1,9.4E-16,1.1,0.017,2.1,0.017,26,7.8
1,3.0,0.51,0,3.6,0.42,4.1,0.42,1,1.3E-15,1.6,0.025,2.7,0.025,34,7.5
1,4.0,0.51,0,4.8,0.55,5.3,0.55,1,1.3E-15,2.2,0.034,3.2,0.034,38,7.2
