buzon,interes,costo_logistico_mean,costo_logistico_std,costo_financiero_mean,costo_financiero_std,costo_total_mean,costo_total_std,costo_logistico_financiero_mean,costo_logistico_financiero_std,costo_financiero_financiero_mean,costo_financiero_financiero_std,costo_total_financiero_mean,costo_total_financiero_std,ganancia_mean,ganancia_std
0,1.0,0.5,0.048,1.5,0.24,2,0.23,0.51,6.1E-16,0.89,0.023,1.4,0.023,27,9.9
0,2.0,0.5,0.048,2.9,0.47,3.4,0.46,1,1.1E-15,1.2,0.032,2.2,0.032,34,11
0,3.0,0.5,0.048,4.3,0.71,4.8,0.7,1,1.4E-15,1.8,0.048,2.8,0.048,41,10
0,4.0,0.5,0.048,5.7,0.94,6.2,0.93,1.3,0.25,2,0.24,3.3,0.055,45,10
0,5.0,0.5,0.048,7.1,1.2,7.6,1.2,1.5,1.7E-15,2.3,0.064,3.8,0.064,49,9.4
0,6.0,0.5,0.048,8.5,1.4,9,1.4,1.7,0.22,2.6,0.21,4.2,0.07,52,9
0,7.0,0.5,0.048,9.9,1.6,10,1.6,2,0.068,2.6,0.088,4.6,0.069,54,8.6
0,8.0,0.5,0.048,11,1.8,12,1.8,2,2.3E-15,2.9,0.078,4.9,0.078,57,8.3
0,9.0,0.5,0.048,13,2.1,13,2.1,2.1,0.068,3.2,0.095,5.3,0.087,58,8
0,10.0,0.5,0.048,14,2.3,14,2.3,2.1,0.15,3.6,0.15,5.6,0.094,60,7.8
1,1.0,0.51,1.1E-16,1.2,0.14,1.7,0.14,0.51,6.9E-16,0.89,0.023,1.4,0.023,18,6.7
1,2.0,0.51,1.1E-16,2.4,0.27,2.9,0.27,1,1.1E-15,1.2,0.032,2.2,0.032,23,7.5
1,3.0,0.51,1.1E-16,3.6,0.4,4.1,0.4,1,1.3E-15,1.8,0.048,2.8,0.048,31,7.2
1,4.0,0.51,1.1E-16,4.7,0.53,5.2,0.53,1.3,0.25,2,0.24,3.3,0.055,36,7
1,5.0,0.51,1.1E-16,5.9,0.66,6.4,0.66,1.5,1.8E-15,2.3,0.064,3.8,0.064,40,6.7
1,6.0,0.51,1.1E-16,7,0.79,7.5,0.79,1.7,0.22,2.6,0.21,4.2,0.07,43,6.3
1,7.0,0.51,1.1E-16,8.2,0.92,8.7,0.92,2,0.068,2.6,0.088,4.6,0.069,46,6.1
1,8.0,0.51,1.1E-16,9.3,1,9.8,1,2,2.8E-15,2.9,0.078,4.9,0.078,49,5.9
1,9.0,0.51,1.1E-16,10,1.2,11,1.2,2.1,0.068,3.2,0.095,5.3,0.087,51,5.7
1,10.0,0.51,1.1E-16,11,1.3,12,1.3,2.1,0.15,3.6,0.15,5.6,0.094,52,5.5
2,1.0,1,2.2E-16,0.82,0.075,1.8,0.075,1,7.5E-16,0.59,0.016,1.6,0.016,12,3.7
2,2.0,1,2.2E-16,1.6,0.15,2.7,0.15,1,1.1E-15,1.2,0.032,2.2,0.032,17,4.8
2,3.0,1,2.2E-16,2.4,0.22,3.5,0.22,1,1.2E-15,1.8,0.048,2.8,0.048,20,5.4
2,4.0,1,2.2E-16,3.2,0.29,4.3,0.29,1.3,0.25,2,0.24,3.3,0.055,21,5.8
2,5.0,1,2.2E-16,4,0.37,5.1,0.37,1.5,1.5E-15,2.3,0.064,3.8,0.064,25,5.8
2,6.0,1,2.2E-16,4.8,0.44,5.8,0.44,1.7,0.22,2.6,0.21,4.2,0.07,27,5.8
2,7.0,1,2.2E-16,5.6,0.51,6.6,0.51,2,0.068,2.6,0.088,4.6,0.069,30,5.7
2,8.0,1,2.2E-16,6.4,0.58,7.4,0.58,2,2.5E-15,2.9,0.078,4.9,0.078,33,5.6
2,9.0,1,2.2E-16,7.1,0.65,8.2,0.65,2.1,0.068,3.2,0.095,5.3,0.087,35,5.6
2,10.0,1,2.2E-16,7.9,0.72,8.9,0.72,2.1,0.15,3.6,0.15,5.6,0.094,36,5.5
3,1.0,1.5,7.1E-08,0.6,0.042,2.1,0.042,1.5,7E-16,0.48,0.024,2,0.024,5.7,2
3,2.0,1.5,7.1E-08,1.2,0.084,2.7,0.084,1.5,1.2E-15,0.95,0.049,2.5,0.049,8.8,3.1
3,3.0,1.5,7.1E-08,1.8,0.13,3.3,0.13,1.5,1.3E-15,1.4,0.073,2.9,0.073,11,3.8
3,4.0,1.5,7.1E-08,2.4,0.17,3.9,0.17,1.6,0.092,1.8,0.11,3.4,0.095,12,4.2
3,5.0,1.5,7.1E-08,2.9,0.21,4.5,0.21,1.7,0.24,2.1,0.18,3.8,0.09,14,4.3
3,6.0,1.5,7.1E-08,3.5,0.25,5,0.25,1.8,0.25,2.4,0.21,4.2,0.076,16,4.4
3,7.0,1.5,7.1E-08,4.1,0.29,5.6,0.29,2,0.071,2.6,0.09,4.6,0.073,17,4.5
3,8.0,1.5,7.1E-08,4.6,0.33,6.2,0.33,2,0.02,2.9,0.082,5,0.082,19,4.6
3,9.0,1.5,7.1E-08,5.2,0.37,6.7,0.37,2.1,0.13,3.2,0.14,5.3,0.092,21,4.6
3,10.0,1.5,7.1E-08,5.7,0.41,7.3,0.41,2.1,0.2,3.5,0.19,5.6,0.096,22,4.6
4,1.0,2.2,0.17,0.45,0.028,2.6,0.17,2.2,0.17,0.38,0.019,2.6,0.16,2.7,1.1
4,2.0,2.2,0.17,0.9,0.056,3.1,0.18,2.2,0.18,0.76,0.04,2.9,0.15,4.6,1.9
4,3.0,2.2,0.17,1.3,0.084,3.5,0.19,2.2,0.18,1.1,0.064,3.3,0.14,6,2.4
4,4.0,2.2,0.17,1.8,0.11,4,0.2,2.2,0.19,1.5,0.095,3.7,0.13,7.1,2.9
4,5.0,2.2,0.17,2.2,0.14,4.4,0.21,2.2,0.22,1.8,0.14,4.1,0.12,8.1,3.3
4,6.0,2.2,0.17,2.7,0.17,4.8,0.23,2.3,0.24,2.1,0.17,4.4,0.11,9.1,3.6
4,7.0,2.2,0.17,3.1,0.19,5.3,0.25,2.3,0.24,2.4,0.18,4.7,0.095,10,3.7
4,8.0,2.2,0.17,3.5,0.22,5.7,0.27,2.4,0.23,2.7,0.19,5.1,0.086,11,3.8
4,9.0,2.2,0.17,3.9,0.24,6.1,0.29,2.5,0.19,2.9,0.18,5.4,0.083,12,3.9
4,10.0,2.2,0.17,4.4,0.27,6.5,0.31,2.5,0.13,3.2,0.15,5.7,0.088,13,4
